Ticker,Currency Pair                               ,Price   ,Price (5D Ago),Price (1W Ago),Price (1M Ago),Price (3M Ago),Price (6M Ago),Price (1Y Ago),Price (3Y Ago),Price (5Y Ago),Price (YTD Ago),Price (QTD Ago),Price (MTD Ago),1D Chg ,1D %   ,1Y %   ,Z-Score
USDBRL,United States Dollar/Brazilian Real         ,5.1711  ,5.1579        ,5.1579        ,5.0533        ,5.2556        ,5.5724        ,5.4838        ,4.8499        ,4.9526        ,5.5168         ,5.1946         ,5.0533         ,-0.0153,-0.0030,-0.0570,-0.41
USDCAD,United States Dollar/Canadian Dollar        ,1.4190  ,1.4159        ,1.4159        ,1.3795        ,1.3893        ,1.3696        ,1.3688        ,1.3252        ,1.2401        ,1.3726         ,1.3914         ,1.3795         ,0.0006 ,0.0004 ,0.0367 ,0.15
USDCHF,United States Dollar/Swiss Franc            ,0.8085  ,0.8086        ,0.8086        ,0.7811        ,0.7991        ,0.7896        ,0.7992        ,0.8996        ,0.9212        ,0.7922         ,0.7994         ,0.7811         ,-0.0012,-0.0015,0.0117 ,-0.33
USDCNH,United States Dollar/Chinese Yuan (Offshore),6.7966  ,6.7777        ,6.7777        ,6.7642        ,6.9203        ,6.9984        ,7.1718        ,7.2680        ,6.4652        ,6.9786         ,6.8877         ,6.7642         ,-0.0076,-0.0011,-0.0523,-0.74
USDCNY,United States Dollar/Chinese Yuan           ,6.7953  ,6.7697        ,6.7697        ,6.7665        ,6.9119        ,7.0060        ,7.1725        ,7.2526        ,6.4642        ,6.9937         ,6.8990         ,6.7665         ,-0.0027,-0.0004,-0.0526,-0.30
USDCOP,United States Dollar/Colombian Peso         ,3435.53 ,3446.13       ,3446.13       ,3634.82       ,3673.81       ,3697.48       ,4038.16       ,4174.04       ,3705.69       ,3775.35        ,3643.10        ,3634.82        ,-6.5586,-0.0019,-0.1492,-0.23
USDEUR,US Dollar / Euro                            ,0.8769  ,0.8750        ,0.8750        ,0.8575        ,0.8686        ,0.8496        ,0.8535        ,0.9205        ,0.8406        ,0.8509         ,0.8655         ,0.8575         ,-0.0013,-0.0015,0.0274 ,
USDHKD,United States Dollar/Hong Kong Dollar       ,7.8429  ,7.8399        ,7.8399        ,7.8359        ,7.8330        ,7.7741        ,7.8497        ,7.8384        ,7.7632        ,7.7839         ,7.8399         ,7.8359         ,0.0012 ,0.0002 ,-0.0009,0.31
USDIDR,United States Dollar/Indonesian Rupiah      ,17850.88,17842.90      ,17842.90      ,17825.24      ,16979.38      ,16771.80      ,16240.00      ,15059.15      ,14563.60      ,16694.00       ,16949.30       ,17825.24       ,4.8886 ,0.0003 ,0.0992 ,0.10
USDINR,United States Dollar/Indian Rupee           ,94.5301 ,94.5808       ,94.5808       ,94.9521       ,94.6274       ,89.8902       ,85.5080       ,82.0696       ,74.2788       ,89.9869        ,93.4854        ,94.9521        ,0.3351 ,0.0036 ,0.1055 ,1.03
USDJPY,United States Dollar/Japanese Yen           ,161.8950,161.5960      ,161.5960      ,159.2665      ,160.2745      ,156.0675      ,144.6760      ,144.7935      ,110.5490      ,156.6290       ,158.7185       ,159.2665       ,0.1495 ,0.0009 ,0.1190 ,0.18
USDKRW,United States Dollar/South Korean Won       ,1543.16 ,1537.02       ,1537.02       ,1506.79       ,1508.61       ,1433.29       ,1364.65       ,1322.91       ,1131.78       ,1444.64        ,1506.67        ,1506.79        ,8.1116 ,0.0053 ,0.1308 ,0.89
USDMXN,United States Dollar/Mexican Peso           ,17.4867 ,17.3551       ,17.3551       ,17.3518       ,18.1198       ,17.9752       ,18.8272       ,17.1264       ,19.8120       ,18.0229        ,17.9333        ,17.3518        ,-0.0258,-0.0015,-0.0712,-0.30
USDMYR,United States Dollar/Malaysian Ringgit      ,4.0710  ,4.1497        ,4.1497        ,3.9693        ,4.0135        ,4.0600        ,4.2285        ,4.6715        ,4.1515        ,4.0580         ,4.0475         ,3.9693         ,-0.0170,-0.0042,-0.0372,-1.22
USDNOK,United States Dollar/Norwegian Krone        ,9.9337  ,9.6935        ,9.6935        ,9.2453        ,9.7458        ,10.0445       ,10.0824       ,10.6577       ,8.5575        ,10.0795        ,9.6847         ,9.2453         ,-0.0039,-0.0004,-0.0147,-0.07
USDPHP,United States Dollar/Philippine Peso        ,61.2270 ,61.1365       ,61.1365       ,61.5050       ,60.3880       ,58.8177       ,56.5655       ,55.4235       ,48.6765       ,58.8765        ,60.3930        ,61.5050        ,-0.0595,-0.0010,0.0824 ,-0.24
