Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Bid,Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
EGYPT 7.3% 30.09.2033,USD,Arab Republic of Egypt,XS2391395154,Sovereign,30.09.2033,B,7.30,Semi-Annual,7.611719,,98.375,200’000,Egypt,1’125’000’000,1’000,No,Yes,No,36,0.73
EGYPT 7.5% 31.01.2027,USD,Arab Republic of Egypt,XS1558078736,Sovereign,31.01.2027,NA,7.50,Semi-Annual,5.369257,,101.50,200’000,Egypt,2’000’000’000,1’000,No,Yes,No,96,2.00
EGYPT 7.053% 15.01.2032,USD,Arab Republic of Egypt,XS2079842642,Sovereign,15.01.2032,B,7.05,Semi-Annual,7.158212,,99.375,200’000,Egypt,1’000’000’000,1’000,No,Yes,No,111,2.1746
EGYPT 5.875% 16.02.2031,USD,Arab Republic of Egypt,XS2297226545,Sovereign,16.02.2031,B,5.88,Semi-Annual,6.772753,,96.375,200’000,Egypt,1’500’000’000,1’000,No,Yes,No,80,1.3056
EGYPT 7% 10.11.2028,USD,Arab Republic of Egypt,XS1504948776,Sovereign,10.11.2028,NA,7.00,Semi-Annual,6.289807,,101.625,200’000,Egypt,1’320’000’000,1’000,No,Yes,No,176,3.4222
EGYPT 7.6% 01.03.2029,USD,Arab Republic of Egypt,XS1953057061,Sovereign,01.03.2029,B,7.60,Semi-Annual,6.270402,,103.25,200’000,Egypt,1’750’000’000,1’000,No,Yes,No,65,1.3723
EGYPT 5.8% 30.09.2027,USD,Arab Republic of Egypt,XS2391394348,Sovereign,30.09.2027,B,5.80,Semi-Annual,5.513268,,100.375,200’000,Egypt,1’125’000’000,1’000,No,Yes,No,36,0.58
EGYPT 8.625% 04.02.2030,USD,Arab Republic of Egypt,XS2989586941,Sovereign,04.02.2030,B,8.63,Semi-Annual,6.520778,,107.00,200’000,Egypt,1’250’000’000,1’000,No,Yes,No,92,2.2042
EGYPT 7.625% 29.05.2032,USD,Arab Republic of Egypt,XS2176897754,Sovereign,29.05.2032,B,7.63,Semi-Annual,7.415639,,100.875,200’000,Egypt,1’750’000’000,1’000,No,Yes,No,157,3.3253
EGYPT 7.625% 10.11.2030,USD,Arab Republic of Egypt,XS1903489463,Sovereign,10.11.2030,B,7.63,Semi-Annual,8.750863,,95.875,200’000,Egypt,1’710’000’000,1’000,No,Yes,No,176,3.7278
EGYPT 5.625% 16.04.2030,EUR,Arab Republic of Egypt,XS1807305328,Sovereign,16.04.2030,B,5.63,Annual,6.410853,,97.652,100’000,Egypt,1’000’000’000,1’000,No,Yes,No,20,0.3082
EGYPT 6.588% 21.02.2028,USD,Arab Republic of Egypt,XS1775618439,Sovereign,21.02.2028,B,6.59,Semi-Annual,5.7625,,101.25,200’000,Egypt,1’250’000’000,1’000,No,Yes,No,75,1.3725
EGYPT 7.125% 10.11.2026,USD,Arab Republic of Egypt,XS1903488572,Sovereign,10.11.2026,B,7.13,Semi-Annual,6.86928,,100.125,200’000,Egypt,860’000’000,1’000,No,Yes,No,176,3.4833
EGYPT 6.375% 11.04.2031,EUR,Arab Republic of Egypt,XS1980255936,Sovereign,11.04.2031,B,6.38,Annual,6.668981,,99.356,100’000,Egypt,1’250’000’000,1’000,No,Yes,No,25,0.4366
EGYPT 9.45% 04.02.2033,USD,Arab Republic of Egypt,XS2990500766,Sovereign,04.02.2033,B,9.45,Semi-Annual,7.64108,,109.25,200’000,Egypt,1’250’000’000,1’000,No,Yes,No,92,2.415
BARBADOS 8% 26.06.2035,USD,Barbados,USP48864AS47,Sovereign,26.06.2035,NA,8.00,Semi-Annual,6.550544,,109.8722,2’000,Barbados,500’000’000,1’000,No,Yes,No,129,2.8667
BARBADOS 6.5% 01.10.2029,USD,Barbados,USP48864AQ80,Sovereign,01.10.2029,B+,6.50,Semi-Annual,5.995727,,100.875,100,Barbados,52’270’750,100,No,Yes,No,34,0.6139
