Name,Currency,Issuer,ISIN,Sector,Maturity,S&P Rating,Coupon,Coupon frequency,YTM (Ask),Ask,Minimum size,Country of issue,Amount issued,Increment size,Subordinated,EU Tax,W/Tax,Accrued days,Accrued interest
EGYPT 7.3% 30.09.2033,USD,Arab Republic of Egypt,XS2391395154,Sovereign,2033-09-30,B,7.300,Semi-Annual,7.612,98.375,200000,Egypt,1125000000,1000,No,Yes,No,36.000,0.730
EGYPT 7.5% 31.01.2027,USD,Arab Republic of Egypt,XS1558078736,Sovereign,2027-01-31,NaN,7.500,Semi-Annual,5.369,101.500,200000,Egypt,2000000000,1000,No,Yes,No,96.000,2.000
EGYPT 7.053% 15.01.2032,USD,Arab Republic of Egypt,XS2079842642,Sovereign,2032-01-15,B,7.050,Semi-Annual,7.158,99.375,200000,Egypt,1000000000,1000,No,Yes,No,111.000,2.175
EGYPT 5.875% 16.02.2031,USD,Arab Republic of Egypt,XS2297226545,Sovereign,2031-02-16,B,5.880,Semi-Annual,6.773,96.375,200000,Egypt,1500000000,1000,No,Yes,No,80.000,1.306
EGYPT 7% 10.11.2028,USD,Arab Republic of Egypt,XS1504948776,Sovereign,2028-10-11,NaN,7.000,Semi-Annual,6.290,101.625,200000,Egypt,1320000000,1000,No,Yes,No,176.000,3.422
EGYPT 7.6% 01.03.2029,USD,Arab Republic of Egypt,XS1953057061,Sovereign,2029-01-03,B,7.600,Semi-Annual,6.270,103.250,200000,Egypt,1750000000,1000,No,Yes,No,65.000,1.372
EGYPT 5.8% 30.09.2027,USD,Arab Republic of Egypt,XS2391394348,Sovereign,2027-09-30,B,5.800,Semi-Annual,5.513,100.375,200000,Egypt,1125000000,1000,No,Yes,No,36.000,0.580
EGYPT 8.625% 04.02.2030,USD,Arab Republic of Egypt,XS2989586941,Sovereign,2030-04-02,B,8.630,Semi-Annual,6.521,107.000,200000,Egypt,1250000000,1000,No,Yes,No,92.000,2.204
EGYPT 7.625% 29.05.2032,USD,Arab Republic of Egypt,XS2176897754,Sovereign,2032-05-29,B,7.630,Semi-Annual,7.416,100.875,200000,Egypt,1750000000,1000,No,Yes,No,157.000,3.325
EGYPT 7.625% 10.11.2030,USD,Arab Republic of Egypt,XS1903489463,Sovereign,2030-10-11,B,7.630,Semi-Annual,8.751,95.875,200000,Egypt,1710000000,1000,No,Yes,No,176.000,3.728
EGYPT 5.625% 16.04.2030,EUR,Arab Republic of Egypt,XS1807305328,Sovereign,2030-04-16,B,5.630,Annual,6.411,97.652,100000,Egypt,1000000000,1000,No,Yes,No,20.000,0.308
EGYPT 6.588% 21.02.2028,USD,Arab Republic of Egypt,XS1775618439,Sovereign,2028-02-21,B,6.590,Semi-Annual,5.763,101.250,200000,Egypt,1250000000,1000,No,Yes,No,75.000,1.373
EGYPT 7.125% 10.11.2026,USD,Arab Republic of Egypt,XS1903488572,Sovereign,2026-10-11,B,7.130,Semi-Annual,6.869,100.125,200000,Egypt,860000000,1000,No,Yes,No,176.000,3.483
EGYPT 6.375% 11.04.2031,EUR,Arab Republic of Egypt,XS1980255936,Sovereign,2031-11-04,B,6.380,Annual,6.669,99.356,100000,Egypt,1250000000,1000,No,Yes,No,25.000,0.437
EGYPT 9.45% 04.02.2033,USD,Arab Republic of Egypt,XS2990500766,Sovereign,2033-04-02,B,9.450,Semi-Annual,7.641,109.250,200000,Egypt,1250000000,1000,No,Yes,No,92.000,2.415
BARBADOS 8% 26.06.2035,USD,Barbados,USP48864AS47,Sovereign,2035-06-26,NaN,8.000,Semi-Annual,6.551,109.872,2000,Barbados,500000000,1000,No,Yes,No,129.000,2.867
BARBADOS 6.5% 01.10.2029,USD,Barbados,USP48864AQ80,Sovereign,2029-01-10,B+,6.500,Semi-Annual,5.996,100.875,100,Barbados,52270750,100,No,Yes,No,34.000,0.614
BOSNIA HERZEGOV 5.5% 17.07.2030,EUR,Bosnia and Herzegovina,XS3123478730,Sovereign,2030-07-17,B+,5.500,Annual,4.488,103.775,100000,Bosnia and Herz,350000000,1000,No,Yes,No,293.000,4.415
CANADA 0% 24.02.2027,CAD,Canada,CA1350Z7EW07,Sovereign,2027-02-24,NaN,0.000,NaN,2.485,97.979,1000,Canada,9200000000,1000,No,Yes,No,68.000,0.000
CANADA 0% 29.07.2026,CAD,Canada,CA1350Z7ES94,Sovereign,2026-07-29,NaN,0.000,NaN,2.221,99.483,1000,Canada,25400000000,1000,No,Yes,No,96.000,0.000
CANADA 1% 01.06.2027,CAD,Canada,CA135087F825,Sovereign,2027-01-06,AAA,1.000,Semi-Annual,2.665,98.160,1000,Canada,15490000000,1000,No,Yes,No,155.000,0.425
CANADA 0% 26.08.2026,CAD,Canada,CA1350Z7EV24,Sovereign,2026-08-26,NaN,0.000,NaN,2.225,99.312,1000,Canada,9200000000,1000,No,Yes,No,68.000,0.000
CANADA 5.75% 01.06.2029,CAD,Canada,CA135087WL43,Sovereign,2029-01-06,AAA,5.750,Semi-Annual,3.040,107.595,1000,Canada,10598959000,1000,No,No,No,155.000,2.442
CANADA 0% 17.06.2026,CAD,Canada,CA1350Z7EA86,Sovereign,2026-06-17,NaN,0.000,NaN,2.213,99.734,1000,Canada,22000000000,1000,No,Yes,No,142.000,0.000
CANADA 2.75% 01.05.2027,CAD,Canada,CA135087S885,Sovereign,2027-01-05,AAA,2.750,Semi-Annual,2.660,100.010,1000,Canada,25658430000,1000,No,Yes,No,4.000,0.030
CANADA 1.5% 01.06.2026,CAD,Canada,CA135087E679,Sovereign,2026-01-06,AAA,1.500,Semi-Annual,2.255,99.944,1000,Canada,13472000000,1000,No,Yes,No,155.000,0.637
CANADA 0% 07.10.2026,CAD,Canada,CA1350Z7EK68,Sovereign,2026-07-10,NaN,0.000,NaN,2.302,99.020,1000,Canada,10000000000,1000,No,Yes,No,208.000,0.000
CANADA 2.5% 01.12.2032,CAD,Canada,CA135087P329,Sovereign,2032-01-12,AAA,2.500,Semi-Annual,3.322,94.679,1000,Canada,21000000000,1000,No,Yes,No,162.000,1.110
CANADA 0% 02.07.2026,CAD,Canada,CA1350Z7EQ39,Sovereign,2026-02-07,NaN,0.000,NaN,2.210,99.645,1000,Canada,21000000000,1000,No,Yes,No,124.000,0.000
CANADA 1% 01.09.2026,CAD,Canada,CA135087L930,Sovereign,2026-01-09,AAA,1.000,Semi-Annual,2.400,99.553,1000,Canada,20599000000,1000,No,Yes,No,65.000,0.178
CANADA 3.5% 01.03.2028,CAD,Canada,CA135087P576,Sovereign,2028-01-03,AAA,3.500,Semi-Annual,2.875,100.916,1000,Canada,15000000000,1000,No,Yes,No,65.000,0.623
CANADA 3% 01.09.2031,CAD,Canada,CA135087U691,Sovereign,2031-01-09,AAA,3.000,Semi-Annual,3.202,98.590,1000,Canada,10000000000,1000,No,Yes,No,26.000,0.214
CANADA 3% 01.02.2027,CAD,Canada,CA135087S547,Sovereign,2027-01-02,AAA,3.000,Semi-Annual,2.531,100.303,1000,Canada,20971667000,1000,No,Yes,No,93.000,0.764
CANADA 4% 01.03.2029,CAD,Canada,CA135087Q988,Sovereign,2029-01-03,AAA,4.000,Semi-Annual,2.979,102.455,1000,Canada,27000000000,1000,No,Yes,No,65.000,0.712
CANADA 3.245% 24.08.2027,CAD,Canada,CA135087P733,Sovereign,2027-08-24,AAA,3.250,Semi-Annual,2.686,100.574,100,Canada,500000000,100,No,Yes,No,70.000,0.622
CANADA 3.5% 01.03.2034,CAD,Canada,CA135087R713,Sovereign,2034-01-03,AAA,3.500,Semi-Annual,3.374,100.255,1000,Canada,6000000000,1000,No,Yes,No,65.000,0.623
CANADA 1.25% 01.03.2027,CAD,Canada,CA135087M847,Sovereign,2027-01-03,AAA,1.250,Semi-Annual,2.559,98.891,1000,Canada,15966000000,1000,No,Yes,No,65.000,0.223
CANADA 5.75% 01.06.2033,CAD,Canada,CA135087XG49,Sovereign,2033-01-06,AAA,5.750,Semi-Annual,3.353,114.359,1000,Canada,11988905000,1000,No,Yes,No,155.000,2.442
CANADA 2.5% 01.05.2028,CAD,Canada,CA135087U444,Sovereign,2028-01-05,AAA,2.500,Semi-Annual,2.884,99.052,1000,Canada,29000000000,1000,No,Yes,No,4.000,0.027
CANADA 3.5% 01.09.2029,CAD,Canada,CA135087R895,Sovereign,2029-01-09,AAA,3.500,Semi-Annual,3.019,101.231,1000,Canada,30000000000,1000,No,Yes,No,65.000,0.623
CANADA 2.25% 01.06.2029,CAD,Canada,CA135087J397,Sovereign,2029-01-06,AAA,2.250,Semi-Annual,2.975,97.602,1000,Canada,12300000000,1000,No,Yes,No,155.000,0.956
CANADA 2.25% 01.02.2028,CAD,Canada,CA135087T958,Sovereign,2028-01-02,AAA,2.250,Semi-Annual,2.864,98.778,1000,Canada,30000000000,1000,No,Yes,No,93.000,0.573
CANADA 3.25% 01.12.2035,CAD,Canada,CA135087T537,Sovereign,2035-01-12,AAA,3.250,Semi-Annual,3.504,97.287,1000,Canada,42000000000,1000,No,Yes,No,155.000,1.380
CANADA 0% 20.05.2026,CAD,Canada,CA1350Z7D682,Sovereign,2026-05-20,NaN,0.000,NaN,2.206,99.903,1000,Canada,25200000000,1000,No,Yes,No,348.000,0.000
CANADA 3.25% 01.11.2026,CAD,Canada,CA135087S398,Sovereign,2026-01-11,AAA,3.250,Semi-Annual,2.410,100.394,1000,Canada,18957666000,1000,No,Yes,No,4.000,0.036
CANADA 3.75% 26.04.2028,USD,Canada,US135087Q560,Sovereign,2028-04-26,AAA,3.750,Semi-Annual,3.838,99.733,5000,Canada,4000000000,5000,No,Yes,No,9.000,0.094
CANADA 3% 01.06.2034,CAD,Canada,CA135087R481,Sovereign,2034-01-06,AAA,3.000,Semi-Annual,3.395,96.637,1000,Canada,34000000000,1000,No,Yes,No,155.000,1.274
CANADA 2.5% 01.11.2027,CAD,Canada,CA135087T610,Sovereign,2027-01-11,AAA,2.500,Semi-Annual,2.805,99.422,1000,Canada,30000000000,1000,No,Yes,No,4.000,0.027
