Ticker,Name,Price,1D Chg,1D %,1Y Chg,1Y %,Z-Score,1W %,1W Chg,1M Chg,1M %,3M Chg,3M %,6M Chg,6M %,MTD Chg,MTD %,QTD Chg,QTD %,YTD Chg,YTD %,3Y Chg,3Y %,5Y Chg,5Y %,10Y Chg,10Y %,52W Low,52W High
AU1Y,Australia 1Y Bond Yield,4.613,-4.5,-0.0097,108.0,0.3057,-1.06,0.0101,4.6,9.4,0.0208,-9.8,-0.0208,55.2,0.1359,8.8,0.0194,8.8,0.0194,64.1,0.1614,48.0,0.1161,460.6,658.0000,299.1,1.8440,3.333,4.838
BR1Y,Brazil 1Y Bond Yield,13.835,-8.5,-0.0061,-89.2,-0.0606,-0.75,-0.0040,-5.5,-17.5,-0.0125,-2.0,-0.0014,80.2,0.0615,4.0,0.0029,4.0,0.0029,-22.5,-0.0160,236.0,0.2057,651.0,0.8887,43.0,0.0321,12.670,14.805
CA1Y,Canada 1Y Bond Yield,2.650,-1.0,-0.0038,-9.0,-0.0328,-0.19,0.0173,4.5,10.0,0.0392,4.5,0.0173,28.0,0.1181,8.5,0.0331,8.5,0.0331,26.2,0.1097,-261.0,-0.4962,235.0,7.8333,207.0,3.5690,2.280,2.964
CN1Y,China 1Y Bond Yield,1.125,2.0,0.0181,-25.9,-0.1871,0.81,0.0000,0.0,-5.9,-0.0498,-3.8,-0.0327,-11.3,-0.0913,-2.0,-0.0175,-2.0,-0.0175,-18.0,-0.1379,-54.0,-0.3243,-87.0,-0.4361,-111.8,-0.4984,1.080,1.473
FR1Y,France 1Y Bond Yield,2.740,-1.8,-0.0065,80.8,0.4183,-0.36,-0.0075,-2.1,15.3,0.0591,5.5,0.0204,63.8,0.3038,14.5,0.0558,14.5,0.0558,62.0,0.2925,-90.4,-0.2481,327.4,,328.1,,1.543,3.040
DE1Y,Germany 1Y Bond Yield,2.592,-0.3,-0.0012,75.3,0.4095,-0.07,-0.0178,-4.7,16.3,0.0671,11.8,0.0477,61.4,0.3104,15.5,0.0636,15.5,0.0636,56.7,0.2800,-101.5,-0.2814,324.7,,320.8,,1.706,3.147
IN1Y,India 1Y Bond Yield,5.728,-1.5,-0.0026,14.1,0.0252,-0.16,-0.0095,-5.5,-20.6,-0.0347,-2.6,-0.0045,19.6,0.0354,3.3,0.0058,3.3,0.0058,11.6,0.0207,-121.3,-0.1748,168.6,0.4171,-108.3,-0.1590,5.480,6.306
ID1Y,Indonesia 1Y Bond Yield,7.770,-0.7,-0.0009,206.4,0.3617,-0.03,-0.0054,-4.2,-17.8,-0.0224,226.8,0.4122,290.2,0.5961,-16.8,-0.0212,-16.8,-0.0212,277.4,0.5552,187.3,0.3176,405.5,1.0915,138.7,0.2173,4.654,7.990
IT1Y,Italy 1Y Bond Yield,2.819,0.9,0.0032,82.3,0.4123,0.15,0.0303,8.3,32.3,0.1294,18.5,0.0702,74.9,0.3618,28.9,0.1142,28.9,0.1142,68.8,0.3229,-99.6,-0.2611,330.8,,299.7,,1.847,2.866
JP1Y,Japan 1Y Bond Yield,1.225,-0.3,-0.0024,56.8,0.8648,-0.17,0.0337,4.0,7.4,0.0641,17.1,0.1618,24.3,0.2473,8.9,0.0786,8.9,0.0786,31.3,0.3432,132.7,,135.8,,157.5,,0.610,1.244
PT1Y,Portugal 1Y Bond Yield,2.716,4.6,0.0172,72.8,0.3662,1.26,0.0172,4.6,18.7,0.0739,24.9,0.1009,68.5,0.3373,17.5,0.0689,17.5,0.0689,69.9,0.3466,-71.9,-0.2093,337.9,,266.1,48.3818,0.015,2.739
RU1Y,Russia 1Y Bond Yield,13.780,-18.0,-0.0129,-9.0,-0.0065,-1.11,-0.0241,-34.0,22.0,0.0162,40.0,0.0299,-77.0,-0.0529,37.0,0.0276,37.0,0.0276,64.0,0.0487,300.0,0.2783,721.0,1.0974,410.0,0.4236,12.710,15.000
KR1Y,South Korea 1Y Bond Yield,3.538,-0.1,-0.0003,119.4,0.5094,-0.01,0.0045,1.6,27.0,0.0826,54.8,0.1833,76.0,0.2736,3.5,0.0100,3.5,0.0100,106.7,0.4318,3.3,0.0094,260.1,2.7759,228.5,1.8236,1.952,3.603
ES1Y,Spain 1Y Bond Yield,2.635,0.4,0.0015,67.0,0.3410,0.11,-0.0015,-0.4,16.3,0.0659,5.5,0.0213,60.7,0.2993,15.5,0.0625,15.5,0.0625,52.6,0.2494,-106.8,-0.2884,325.8,,284.6,,1.824,2.720
