,dtype,n_missing,pct_missing,n_unique
feat_total_return_10y,float64,1921,30.1,4356
feat_tr_cagr_10y,float64,1921,30.1,2841
feat_total_return_2021,float64,1018,15.9,4476
market_cap_ev_5yavg,float64,767,12.0,5623
feat_tr_cagr_5y,float64,756,11.8,3892
feat_total_return_5y,float64,756,11.8,5235
price_5y_ago,float64,756,11.8,4706
price_3m_ago,float64,720,11.3,4543
feat_total_return_3m,float64,720,11.3,3904
feat_price_chg_pct_3m,float64,720,11.3,3882
beta_5y,float64,683,10.7,388
feat_total_return_2022,float64,639,10.0,4483
market_cap_ev_neg4fy,float64,640,10.0,5750
beta_2y,float64,529,8.3,365
feat_avg_beta,float64,529,8.3,1454
beta_1y,float64,529,8.3,495
feat_total_return_2023,float64,513,8.0,4807
market_cap_ev_neg3fy,float64,505,7.9,5885
price_3y_ago,float64,452,7.1,4844
feat_total_return_3y,float64,452,7.1,5366
feat_tr_cagr_3y,float64,452,7.1,4364
feat_ev_vs_3yavg,float64,445,7.0,5945
market_cap_ev_3yavg,float64,446,7.0,5944
feat_mcap_vs_3yavg,float64,434,6.8,5956
feat_total_return_2024,float64,428,6.7,4769
market_cap_ev_neg2fy,float64,394,6.2,5996
feat_pt_achievement_1y,float64,287,4.5,3459
price_target_high_1y_ago,float64,286,4.5,2265
price_target_median_1y_ago,float64,286,4.5,2746
price_target_low_1y_ago,float64,286,4.5,2077
