,mean,sd,eti89_lb,eti89_ub
feat_pt_drift,0.0487,0.1137,-0.0719,0.2459
feat_price_drift,0.0561,0.1246,-0.0823,0.2722
feat_coverage_drift,0.0339,0.0908,-0.0525,0.2
feat_pt_noise_drift,0.1772,0.3251,-0.1221,1.0
feat_one_day_return,0.0042,0.0291,-0.0344,0.057
feat_price_chg_pct_3m,0.0375,0.2166,-0.2616,0.4001
feat_total_return_ytd,0.1444,0.3985,-0.3135,0.8371
feat_total_return_5y,1.0776,2.5798,-0.733,5.408
feat_total_return_10y,4.0295,8.7521,-0.5413,15.7034
feat_tr_cagr_3y,0.1443,0.2925,-0.2363,0.6859
feat_total_return_1m,0.0119,0.1126,-0.1688,0.1974
feat_total_return_3m,0.0458,0.2167,-0.2541,0.404
feat_total_return_6m,0.1031,0.3464,-0.3106,0.7175
feat_total_return_1y,0.3003,0.7112,-0.3811,1.4908
feat_tr_cagr_5y,0.0719,0.2106,-0.232,0.4497
feat_pt_range_norm,0.4339,0.3037,0.0,0.9886
feat_pt_noise_sigma,687.8108,4016.2989,0.0,769.1972
feat_vol_drift,-0.0036,0.0958,-0.1572,0.1546
feat_mcap_trend_1y,0.6628,1.5266,-0.4109,2.8253
feat_mcap_vs_3yavg,1.255,0.5713,0.6318,2.3766
feat_ev_vs_3yavg,1.2496,0.5688,0.6619,2.306
