feature,spearman_rho,n
feat_total_return_3m,-0.572,6505
feat_price_chg_pct_3m,-0.5677,6505
feat_total_return_6m,-0.4516,6471
feat_total_return_ytd,-0.4023,6451
feat_total_return_1m,-0.2974,6534
feat_total_return_1y,-0.2856,6392
feat_price_drift,-0.2437,6540
feat_total_return_5y,-0.1466,5852
feat_tr_cagr_5y,-0.1465,5852
feat_tr_cagr_3y,-0.1388,6107
feat_total_return_10y,-0.0647,4740
feat_one_day_return,-0.0264,6540
feat_pt_drift,-0.0099,6540
feat_pt_noise_drift,0.0432,6540
feat_coverage_drift,0.0571,6540
