,dtype,n_missing,pct_missing,n_unique
feat_total_return_10y,float64,1886,29.4,4390
feat_tr_cagr_10y,float64,1886,29.4,2801
feat_total_return_2021,float64,988,15.4,4526
price_5y_ago,float64,840,13.1,4696
feat_total_return_5y,float64,840,13.1,5153
feat_tr_cagr_5y,float64,840,13.1,3912
market_cap_ev_5yavg,float64,753,11.7,5657
feat_total_return_2022,float64,625,9.8,4507
market_cap_ev_neg4fy,float64,619,9.7,5791
feat_total_return_2023,float64,500,7.8,4822
market_cap_ev_neg3fy,float64,491,7.7,5919
price_3y_ago,float64,449,7.0,4862
feat_total_return_3y,float64,449,7.0,5382
feat_tr_cagr_3y,float64,449,7.0,4359
market_cap_ev_3yavg,float64,438,6.8,5972
feat_ev_vs_3yavg,float64,437,6.8,5973
beta_5y,float64,432,6.7,385
feat_mcap_vs_3yavg,float64,428,6.7,5982
feat_total_return_2024,float64,414,6.5,4811
market_cap_ev_neg2fy,float64,381,5.9,6029
beta_1y,float64,277,4.3,496
beta_2y,float64,277,4.3,360
feat_avg_beta,float64,277,4.3,1455
feat_total_return_2025,float64,267,4.2,5001
price_target_num_1y_ago,float64,263,4.1,55
price_target_low_1y_ago,float64,263,4.1,2138
price_target_1y_ago,float64,263,4.1,5440
price_target_stddev_1y_ago,float64,263,4.1,5313
feat_pt_achievement_1y,float64,263,4.1,3511
price_target_high_1y_ago,float64,263,4.1,2301
