,mean,sd,eti89_lb,eti89_ub
feat_pt_drift,0.0507,0.115,-0.0719,0.2509
feat_price_drift,0.0464,0.1231,-0.0923,0.2644
feat_pt_high_drift,0.0554,0.1256,-0.0663,0.2653
feat_pt_low_drift,0.0518,0.1232,-0.0835,0.2653
feat_pt_median_drift,0.0535,0.1211,-0.0737,0.2568
feat_coverage_drift,0.0308,0.0874,-0.0536,0.2
feat_pt_noise_drift,0.1735,0.3188,-0.1202,1.0
feat_one_day_return,-0.0042,0.0262,-0.0518,0.0322
feat_price_chg_pct_3m,0.0147,0.2087,-0.2829,0.3747
feat_total_return_ytd,0.1179,0.3915,-0.3479,0.7867
feat_total_return_5y,1.0783,2.557,-0.7342,5.4281
feat_total_return_10y,4.0156,8.6444,-0.5336,15.631
feat_tr_cagr_3y,0.1356,0.2872,-0.2409,0.6679
feat_total_return_1m,0.0045,0.1163,-0.1896,0.1812
feat_total_return_3m,0.023,0.209,-0.2795,0.3793
feat_total_return_6m,0.0583,0.3338,-0.38,0.6345
feat_total_return_1y,0.2654,0.7062,-0.4124,1.4507
feat_tr_cagr_5y,0.0724,0.2106,-0.2328,0.4499
feat_pt_range_norm,0.4377,0.3007,0.0,0.9835
feat_pt_noise_sigma,658.182,3797.0592,0.0,751.3864
feat_vol_drift,-0.0152,0.0948,-0.1626,0.1431
feat_mcap_trend_1y,0.5688,1.3229,-0.435,2.5839
feat_mcap_vs_3yavg,1.2233,0.5466,0.6102,2.2575
feat_ev_vs_3yavg,1.2168,0.5372,0.6374,2.2137
