feature,spearman_rho,n
feat_total_return_3m,-0.5793,6368
feat_price_chg_pct_3m,-0.5774,6368
feat_total_return_6m,-0.5392,6332
feat_total_return_ytd,-0.4833,6318
feat_total_return_1y,-0.318,6255
feat_total_return_1m,-0.3154,6400
feat_price_drift,-0.2644,6410
feat_one_day_return,-0.2276,6410
feat_tr_cagr_5y,-0.1991,5570
feat_total_return_5y,-0.1991,5570
feat_tr_cagr_3y,-0.1679,5961
feat_total_return_10y,-0.1049,4524
feat_pt_median_drift,-0.0275,6410
feat_pt_drift,-0.0269,6410
feat_pt_high_drift,-0.0049,6410
feat_pt_low_drift,-0.0008,6410
feat_pt_noise_drift,0.0417,6410
feat_coverage_drift,0.0803,6410
