mv_column,state_space_role
feat_analyst_bearish_pct,drift / state-transition mean (beta)
feat_analyst_bullish_pct,drift / state-transition mean (beta)
feat_analyst_conviction,drift / state-transition mean (beta)
feat_coverage_drift,drift / state-transition mean (beta)
feat_ev_vs_3yavg,drift / state-transition mean (beta)
feat_mcap_trend_1y,drift / state-transition mean (beta)
feat_mcap_vs_3yavg,drift / state-transition mean (beta)
feat_mv_ev_drift,drift / state-transition mean (beta)
feat_one_day_return,drift / state-transition mean (beta)
feat_price_chg_pct_3m,drift / state-transition mean (beta)
feat_price_drift,drift / state-transition mean (beta)
feat_pt_accuracy_1y,drift / state-transition mean (beta)
feat_pt_achievement_1y,drift / state-transition mean (beta)
feat_pt_drift,drift / state-transition mean (beta)
feat_pt_high_drift,drift / state-transition mean (beta)
feat_pt_low_drift,drift / state-transition mean (beta)
feat_pt_median_drift,drift / state-transition mean (beta)
feat_pt_noise_drift,drift / state-transition mean (beta)
feat_pt_range_hit_rate,drift / state-transition mean (beta)
feat_analyst_rating,drift / state-transition mean (beta)
feat_pt_range_norm,observation-noise widener (range)
feat_pt_noise_sigma,observation-noise widener (consensus sigma)
feat_vol_drift,observation-noise widener (realized-vol drift)
feat_avg_beta,risk/size tilt (named pm.Data container)
feat_mcap_country_r,risk/size tilt (named pm.Data container)
days_since_fy_end,time covariate (t_scaled axis)
days_since_last_report,time covariate (t_scaled axis)
days_to_expected_report,time covariate (t_scaled axis)
days_to_next_earnings,time covariate (t_scaled axis)
days_to_next_fiscal_quarter,time covariate (t_scaled axis)
days_to_next_fy_end,time covariate (t_scaled axis)
days_to_next_report,time covariate (t_scaled axis)
feat_implied_upside,RESPONSE (log1p -> feat_log_uplift; leakage-barred)
feat_analyst_neutral_pct,excluded (drift-support counter / raw rating count / collinear leg)
feat_holds,excluded (drift-support counter / raw rating count / collinear leg)
feat_no_opinion,excluded (drift-support counter / raw rating count / collinear leg)
feat_price_drift_n,excluded (drift-support counter / raw rating count / collinear leg)
feat_pt_drift_n,excluded (drift-support counter / raw rating count / collinear leg)
feat_vol_drift_n,excluded (drift-support counter / raw rating count / collinear leg)
feat_buys,excluded (drift-support counter / raw rating count / collinear leg)
feat_sells,excluded (drift-support counter / raw rating count / collinear leg)
