,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
unit_effect[TRY],0.0905,0.2006,-0.2372,0.4108,6269.3885,2583.5209,1.0047,0.0025,0.0018
country_effect[MO],-0.0227,0.1189,-0.2098,0.1713,4219.9966,2937.4414,1.0044,0.0018,0.0013
country_effect[JP],0.0193,0.2071,-0.3126,0.3479,2456.9477,2491.2178,1.0044,0.0042,0.003
exchange_effect[BMV],0.0227,0.189,-0.2784,0.3264,6307.9167,2969.0048,1.0043,0.0024,0.0017
unit_effect[OMR],-0.0417,0.2054,-0.37,0.2827,5736.7458,2536.9493,1.0041,0.0027,0.002
unit_effect[THB],0.0353,0.1942,-0.2827,0.3449,5859.1217,2885.4634,1.0041,0.0025,0.0018
country_effect[GG],0.2505,0.1672,-0.0136,0.5205,5140.6476,2521.569,1.004,0.0023,0.0017
industry_effect[Media],0.106,0.033,0.054,0.1589,4956.7559,2636.4676,1.004,0.0005,0.0003
industry_effect[Leisure Products],0.0413,0.0511,-0.0402,0.1232,5511.4086,2381.6627,1.0038,0.0007,0.0005
unit_effect[QAR],0.0158,0.2102,-0.3214,0.3551,5518.6995,2645.3149,1.0037,0.0028,0.0021
exchange_effect[PSE],0.0242,0.2047,-0.2957,0.3486,6125.8233,2944.8853,1.0036,0.0026,0.0019
sigma_industry,0.0997,0.005,0.0921,0.1079,3848.3709,3031.274,1.0035,0.0001,0.0001
unit_effect[GHS],0.0141,0.2325,-0.3703,0.3916,5290.6346,2642.7965,1.0035,0.0032,0.0022
unit_effect[USD],0.2929,0.0871,0.1563,0.4333,1582.4138,1892.9214,1.0033,0.0022,0.0015
country_effect[LI],0.0283,0.2393,-0.3592,0.3981,4565.8883,2562.4678,1.0033,0.0035,0.0024
country_effect[IS],0.052,0.197,-0.2683,0.3601,5200.4401,2836.2596,1.0033,0.0027,0.0019
industry_effect[Pharmaceuticals],0.1143,0.0203,0.0818,0.1462,4830.3322,2909.4949,1.0033,0.0003,0.0002
exchange_effect[NasdaqGM],0.0289,0.0816,-0.1001,0.1563,1722.3925,2194.4939,1.0032,0.002,0.0013
exchange_effect[HLSE],-0.1417,0.1381,-0.3613,0.0785,5147.2094,2923.1946,1.0032,0.0019,0.0014
unit_effect[JPY],0.0261,0.205,-0.3028,0.3611,2357.1787,2359.3455,1.0032,0.0042,0.0029
industry_effect[Machinery],-0.0577,0.0183,-0.0864,-0.0281,5170.4494,2849.0942,1.0031,0.0003,0.0002
unit_effect[EUR],0.0466,0.082,-0.0838,0.1798,2167.2059,2005.1122,1.0031,0.0018,0.0013
exchange_effect[OTCPK],0.1235,0.1481,-0.1162,0.3595,3884.9528,2544.8811,1.003,0.0024,0.0017
exchange_effect[ENXTAM],0.0182,0.0805,-0.1113,0.1468,3431.8252,3164.7529,1.0029,0.0014,0.001
industry_effect[Beverages],-0.0946,0.0261,-0.1359,-0.053,4770.9588,2638.0083,1.0029,0.0004,0.0003
exchange_effect[NYSE],-0.1843,0.0789,-0.3091,-0.0599,1667.4112,1982.6255,1.0029,0.0019,0.0013
unit_effect[AUD],-0.0612,0.179,-0.3436,0.2283,3766.2608,2761.9287,1.0028,0.0029,0.002
unit_effect[ARS],0.1213,0.2152,-0.2157,0.4636,4650.6741,2969.6487,1.0028,0.0032,0.0022
unit_effect[BHD],0.0574,0.23,-0.3125,0.4232,4954.0667,3058.7158,1.0027,0.0033,0.0023
country_effect[NG],-0.0739,0.1827,-0.3692,0.2197,4892.606,3058.8046,1.0027,0.0026,0.0018
country_effect[ES],-0.1038,0.1047,-0.2714,0.0638,6416.0975,3252.5902,1.0026,0.0013,0.0009
exchange_effect[NasdaqGS],-0.1582,0.0789,-0.2835,-0.0338,1673.1175,1941.6676,1.0026,0.0019,0.0013
unit_effect[INR],-0.0952,0.1723,-0.3733,0.179,2146.0958,2315.0462,1.0025,0.0037,0.0027
unit_effect[RON],-0.2513,0.197,-0.566,0.0649,5815.3841,2978.8551,1.0025,0.0026,0.0018
country_effect[MD],0.0176,0.2335,-0.3469,0.3938,5375.6834,3051.3636,1.0024,0.0032,0.0022
industry_effect[Diversified Telecommunication Services],-0.0015,0.0289,-0.0473,0.0441,5158.3966,2784.3696,1.0024,0.0004,0.0003
