,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd
exchange_effect[OFEX],0.0211,0.2454,-0.3648,0.422,5020.5944,2338.3755,1.0061,0.0035,0.0024
nu,22.1482,13.8793,6.2358,47.3754,3512.7091,1882.7305,1.005,0.2161,0.2517
unit_effect[RSD],0.0384,0.2397,-0.3354,0.4262,4752.4758,3006.0016,1.0041,0.0035,0.0024
unit_effect[EGP],-0.0054,0.1948,-0.3242,0.301,4535.3772,3031.4583,1.004,0.0029,0.002
exchange_effect[IBSE],0.0997,0.1888,-0.1988,0.4026,6970.4925,3142.4216,1.0036,0.0023,0.0016
unit_effect[TRY],0.0997,0.1912,-0.2015,0.4119,7253.8787,2911.8019,1.0031,0.0022,0.0016
unit_effect[BRL],0.0404,0.1848,-0.2496,0.3396,6369.2486,2769.6504,1.0031,0.0023,0.0017
exchange_effect[OTCPK],0.0933,0.1834,-0.1981,0.3905,4149.4437,2545.8239,1.003,0.0028,0.002
exchange_effect[BELEX],0.0422,0.2401,-0.3441,0.4288,4545.4724,2547.943,1.003,0.0036,0.0026
sigma_base,0.3678,0.0034,0.3624,0.3732,4405.9696,2720.7434,1.003,0.0001,0.0
unit_effect[MYR],-0.1129,0.1782,-0.3994,0.1739,6306.98,3326.0875,1.0029,0.0022,0.0015
exchange_effect[TASE],-0.1006,0.2298,-0.4561,0.2653,4831.9364,3422.5452,1.0029,0.0033,0.0024
exchange_effect[HOSE],0.0573,0.1885,-0.2435,0.3586,5164.8502,2918.7209,1.0028,0.0026,0.0019
unit_effect[DKK],0.008,0.1815,-0.2843,0.2884,6381.9243,3046.253,1.0028,0.0023,0.0016
unit_effect[COP],0.0154,0.2006,-0.3042,0.3359,4756.9443,3134.9812,1.0027,0.0029,0.002
unit_effect[OMR],-0.0012,0.1957,-0.3171,0.3107,4471.7371,3032.8239,1.0027,0.0029,0.002
exchange_effect[DSM],0.0078,0.2012,-0.3169,0.3269,4737.525,2875.3867,1.0027,0.0029,0.0021
exchange_effect[NSEI],-0.097,0.1451,-0.3343,0.1339,3506.5109,2842.9784,1.0027,0.0024,0.0018
unit_effect[VND],0.0555,0.1879,-0.2429,0.3603,5814.2134,3011.7674,1.0026,0.0025,0.0018
exchange_effect[ATSE],-0.0782,0.1059,-0.2455,0.0938,4424.5727,2921.5845,1.0025,0.0016,0.0012
exchange_effect[ENXTBR],0.0645,0.0881,-0.0754,0.2069,4680.5184,3252.1729,1.0025,0.0013,0.0009
exchange_effect[IDX],0.031,0.1848,-0.2632,0.3256,7100.8575,2516.6342,1.0025,0.0022,0.0015
unit_effect[MXN],-0.0325,0.1865,-0.3324,0.2686,6550.3225,3402.9436,1.0024,0.0023,0.0016
unit_effect[IDR],0.0301,0.1833,-0.2598,0.3226,7972.2529,2366.0662,1.0024,0.0021,0.0014
exchange_effect[LJSE],-0.1496,0.198,-0.4721,0.1746,4063.0177,2453.1358,1.0024,0.0031,0.0022
exchange_effect[BMV],-0.0391,0.1908,-0.3454,0.2704,7171.144,3008.0204,1.0023,0.0023,0.0016
region_effect[Latin America and Caribbean],0.0452,0.0517,-0.0362,0.1273,5837.696,3083.0718,1.0022,0.0007,0.0005
sector_effect[Energy],-0.0691,0.0194,-0.1006,-0.0377,4469.0262,3007.4344,1.0022,0.0003,0.0002
unit_effect[CLP],0.0891,0.1978,-0.2253,0.4005,5642.8787,3002.7652,1.0022,0.0026,0.0019
