isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
CH0019107025,APGN,APG|SGA SA,Europe,Europe,CH,CHF,SWX,Communication Services,Media,Small Cap,Core,746.14,0.62,718.52,201.0,209.5,2778.2322909282634,2564.6268326672152,3012.133018426922,12.822051198648142,11.60849828347275,1.0,0.04228855721393035,0.0213,0.1631,-0.2369,0.0969,2.0,13.08570723540963,3.1721927866076,9.190218487674228,12.841124233743805,17.630426351913577,1.0
US4859251013,KARD,Kardigan Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Core,1831.45,0.36,2155.81,20.5,43.5,272.57700029920625,252.45212848452616,293.4742736662889,12.29643903898563,11.425438904933733,1.0,1.121951219512195,,,,,4.0,12.492207915419622,2.379453049403514,9.422825615136814,12.315591677350167,15.969539790544793,1.0
PLRXCNC00017,REX,Rex Concepts S.A.,Europe,Europe,PL,PLN,WSE,Consumer Discretionary,Hotels Restaurants and Leisure,Small Cap,Core,310.71,0.3,449.16,12.128,14.3,159.33765791369436,147.4425335570753,171.75022830241306,12.137999498160786,11.368594929865155,1.0,0.179089709762533,,,,,1.0,12.590396110775083,4.627645889250888,8.046160821449545,12.169404317609226,18.008699144010873,0.99990625
DK0064982565,IG,InstallatørGruppen A/S,Europe,Europe,DK,DKK,CPSE,Industrials,Construction and Engineering,Small Cap,Value,568.81,0.43,677.72,12.26,20.0,160.9735886878137,149.0242668056989,173.6027712724131,12.129982764095658,11.365736223036707,1.0,0.6313213703099511,,,,,3.0,12.291336698204837,2.330632745329823,9.382224564844352,12.120481724925416,15.60254213486229,1.0
US45047B1052,ITG,ITG Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Construction and Engineering,Small Cap,Core,1689.78,0.37,1475.92,13.61,17.5556,178.6139227680259,165.33164406892476,192.42452746917292,12.123726874946886,11.363480139249909,1.0,0.28990448199853047,,,,,9.0,12.186759178224314,1.5382716105261913,10.258400015957578,12.114610043829254,14.260528677721043,1.0
PLROBYG00321,ROB,Robyg S.A.,Europe,Europe,PL,PLN,WSE,Consumer Discretionary,Household Durables,Small Cap,Value,929.12,0.16,1155.68,31.825,45.85,417.3463132771803,386.01920628297796,449.6483815248605,12.113788319785684,11.359860219070251,1.0,0.44069128043990574,,,,,3.0,12.252305323982709,2.261882315476447,9.392307194154938,12.099710305807143,15.414180915093205,0.99996875
NO0013753343,BOHUS,Bohus ASA,Europe,Europe,NO,NOK,OB,Consumer Discretionary,Specialty Retail,Small Cap,Value,392.82,0.41,593.33,37.5,48.0,490.6900724979056,454.5940923169187,528.6735204529264,12.085068599944181,11.349554570351886,1.0,0.28,,,,,1.0,12.575270252996978,4.911305491259622,8.056412608018114,12.116660247559363,18.003512054116968,0.9999375
US2960131058,EROC,ERock Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Electrical Equipment,Small Cap,Core,2894.25,0.3,351.05,10.59,22.625,138.0825480343261,127.49242349143914,149.1611315868097,12.038956377179009,11.332576590970104,1.0,1.1364494806421153,,,,,8.0,12.130431889776627,1.5885219697815174,9.85285237898078,12.047732494439487,14.59101344146402,1.0
EE3100098328,MRK1T,AS Merko Ehitus,Europe,Europe,EE,EUR,TLSE,Industrials,Construction and Engineering,Small Cap,Value,560.8,0.12,588.06,27.4,32.0146,356.8725983627939,330.61718103643716,384.85776919717364,12.024547385503508,11.327555375694857,1.0,0.16841605839416057,-0.0862,1.415,5.346,0.2921,1.0,12.39768131521576,4.1733535253546306,7.983536181898708,12.009392560595717,17.80049392897196,0.999875
SE0028825042,NTECH,Stockholm Nordtech Group AB,Europe,Europe,SE,SEK,OM,Information Technology,Software,Small Cap,Core,380.6,0.39,380.61,72.0,84.0,931.126785855809,861.9930661972058,1003.3997509848746,11.932316470219602,11.293926676359229,1.0,0.16666666666666666,,,,,2.0,12.198648178614045,3.1639540674096005,8.617727212501,11.944540092894748,16.448429054306978,0.99990625
