isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos,band_width,kalman_gain,p_upside_pos_cond,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight
JP3475350009,4568,Daiichi Sankyo Company Limited,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Health Care,Pharmaceuticals,Large Cap,Value,28995.27,0.02,28120.05,2500.0,4072.9412,4099.390590557214,4023.0088035720905,4178.182787806011,0.6397562362228849,1.1164125328115826,1.0,0.62917648,-0.2432,0.3184,2.6527,-0.1443,17.0,0.6634589309172881,0.3258111109932175,0.24155443060886364,0.6363784304948809,1.172235369072213,0.996,1.0,0.037852939554322514,0.7532427237528577,0.7502297528578463,0.6060954596881281,0.0163336710697032,39.16793925215919,2.0363299732006364,0.03366077653475685,19.00598566293611,0.0,0.04779660488475667
US81762P1021,NOW,ServiceNow Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Software,Large Cap,Growth,122146.66,0.02,123892.66,118.146,140.2528,183.78038125025154,180.59365484417586,186.90995282745345,0.5555362115539358,0.8982226834441805,1.0,0.18711424847222927,-0.2288,-0.0046,6.8827,0.0231,46.0,0.5610102531082666,0.15587601114159638,0.31935360567039,0.5536583399332895,0.8267625182198948,0.9998125,1.0,0.03436872826309336,0.7105211137167278,0.7103878910079059,0.5258743110865016,0.014341122151133789,38.737290269159026,3.5990801214347847,0.02966190046743422,18.72894867825002,0.0,0.047099907142774906
US68389X1054,ORCL,Oracle Corporation,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Software,Large Cap,Core,419719.19,0.0,560759.19,145.712,248.1458,224.2656497923379,220.43881236786464,228.1014587894038,0.5391021315494785,0.8542662578577397,1.0,0.7029880860876249,-0.2452,0.731,3.1363,0.0966,41.0,0.5498458138552842,0.1831067986215365,0.2743860791896073,0.5393953735100334,0.8606493728325133,0.999625,1.0,0.034167722201926626,0.7014001197517044,0.7011370947067974,0.5096636613434643,0.014168564473146844,38.04917093550436,3.0028694619458705,0.0294384702060142,18.31284464772702,0.0,0.046053481017312374
US79466L3024,CRM,Salesforce Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Software,Large Cap,Value,156419.17,0.02,187130.17,190.988,241.7198,289.16854889442,284.196995626769,294.1776395975163,0.5140665847823972,0.7863883478611202,1.0,0.2656282070077701,-0.2754,-0.2043,1.4118,-0.0326,53.0,0.522411375832035,0.14870625102919538,0.28928645998692415,0.5162923685075567,0.7748240439046336,0.9998125,1.0,0.034514970624939474,0.6869956766069683,0.6868668649176044,0.48508896182293876,0.014092273118391657,36.47861352555643,3.5130424727704983,0.028977622959458438,17.74012262847127,0.0,0.04461318907199381
CA21037X1006,CSU,Constellation Software Inc.,United States and Canada,United States and Canada,CA,CAD,TSX,Information Technology,Software,Large Cap,Growth,48387.96,0.02,51647.16,3200.75,3928.9301,4911.1780162336045,4815.626177329337,5005.352077835011,0.5343835089380952,0.8415181986638071,1.0,0.22750296024369288,-0.0294,0.6287,6.0898,0.0614,12.0,0.5676163895820363,0.31074308968226255,0.13293402582084782,0.539154327916243,1.088149169501873,0.9875625,1.0,0.03863144440672816,0.6987102595600027,0.6900200507067251,0.5020367235440243,0.015661480702978896,34.120880335181376,1.826642034622327,0.032346785394070876,16.520451798466716,0.0,0.04154593827084883
CNE100000296,1211,BYD Company Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Discretionary,Automobiles,Large Cap,Core,118255.83,0.0,122171.25,93.45,124.8176,150.51375571658355,147.3340012657117,153.76712365998938,0.6106340900651047,1.0421942187109134,1.0,0.33566185125735687,-0.0152,0.0359,5.0898,0.0253,27.0,0.6226334755567147,0.19596587785365732,0.3335910074646611,0.6103975415827566,0.9536661862721776,0.999625,1.0,0.04274109275693856,0.7391737345077546,0.7388965443573142,0.5735314864836922,0.01807933340437141,33.775254673795615,3.1772545423529426,0.037102603581412485,16.457984915404097,0.0,0.04138884539594738
KR7064350002,A064350,Hyundai Rotem Company,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Industrials,Machinery,Large Cap,Core,10680.17,0.02,9007.18,139900.0,287500.0,216958.07761455319,212666.9312750339,221230.6661387694,0.5508082745857985,0.8855749327538742,1.0,1.0550393137955683,-0.253,4.5582,5.8202,0.6713,20.0,0.5723740187255254,0.24746831737871552,0.2052210843271309,0.5535492512634596,1.0105232006166915,0.995125,1.0,0.03947184155526027,0.7078960097034912,0.7044450166561868,0.5164935557819548,0.016183077404664837,34.036065008687764,2.31291837592926,0.034314718803843736,16.05166219587672,0.0,0.040367017492603074
US64110L1061,NFLX,Netflix Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Communication Services,Entertainment,Large Cap,Growth,306307.73,0.01,313834.48,73.562,94.3256,112.00942588068969,109.81342561014971,114.17241088881718,0.5226533520117677,0.8097457861151343,1.0,0.2822598624289715,-0.2154,0.4219,6.8726,0.1943,45.0,0.5275744344027771,0.15178800608380982,0.29483023741263426,0.5200134628143113,0.7882602915657555,0.9995,1.0,0.03891623623989095,0.6919784629544645,0.6916324737229873,0.48980564375680635,0.0159501958436838,32.767832892706195,3.4757320292584684,0.032847708254961305,15.911409951494145,0.0,0.04001430854986053
CNE100003G67,300760,Shenzhen Mindray Bio-Medical Electronics Co. Ltd.,Asia / Pacific,Asia / Pacific,CN,CNY,SZSE,Health Care,Health Care Equipment and Supplies,Large Cap,Core,27621.21,0.01,25695.09,154.27,232.5139,244.7309651430554,239.54236930187176,249.85871736076953,0.5863807943414528,0.9793984964284392,1.0,0.507188046930706,-0.1883,-0.5554,,-0.1679,18.0,0.607072924904327,0.25326324741143247,0.23878398192363182,0.5864751018431102,1.0453716818188168,0.9965625,1.0,0.042153832282185624,0.7268913093726806,0.724392620496712,0.5492865618456125,0.0178428747139756,32.86358301233627,2.3970036359761346,0.03709423249584032,15.807869711476267,0.0,0.039753923635887964
KR7005490008,A005490,POSCO Holdings Inc.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Materials,Metals and Mining,Large Cap,Core,16555.9,0.01,32528.23,313000.0,461789.4737,474073.65574737894,464726.0361772127,483484.02315315825,0.5146123186817202,0.7878310546353275,1.0,0.4753657306709265,0.0372,0.0693,1.0472,-0.1714,19.0,0.5297925432187751,0.2409183485785788,0.1814579211304453,0.5109494911855564,0.9527494302767162,0.9936875,1.0,0.03956766369220305,0.6872894901707838,0.6829509752640807,0.48204663703130096,0.01589968765767988,32.36619044105258,2.199054353246889,0.03256568165041923,15.802289176867125,0.0,0.03973988960405772
US5949181045,MSFT,Microsoft Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Large Cap,Core,3657786.58,0.0,3709948.58,492.595,562.7264,706.6835230911654,694.547659267077,718.6203363541102,0.4346136747047038,0.5633050295762555,1.0,0.1423713192379135,0.0231,0.7915,8.7082,0.1542,53.0,0.43975337725118346,0.1228264626322047,0.25048681175147214,0.43383527320676196,0.6486691690625654,0.9996875,1.0,0.03406429653508095,0.637170991389372,0.6369718754545628,0.40693990917725953,0.013198786486583942,32.9283055791888,3.5802820322848046,0.027673765527444272,15.704898354858658,0.0,0.03949496936043057
DE0007164600,SAP,SAP SE,Europe,Europe,DE,EUR,XTRA,Information Technology,Software,Large Cap,Growth,218749.27,0.0,217389.76,164.64,201.5472,250.84244805960208,245.88385279232858,255.76659055255897,0.5235814386516157,0.8122669929009512,1.0,0.22416909620991254,-0.1964,0.4667,1.4912,0.1226,25.0,0.5386094243933788,0.19935595116386842,0.23600178285262405,0.524308370796584,0.8811419145075607,0.9981875,1.0,0.039398187335032586,0.6925151784294302,0.6912599946685268,0.4901828998168902,0.015979890848578513,32.76501971214595,2.701747408336196,0.03339853883472543,15.676776796811026,0.0,0.03942424874522104
KYG040111059,2020,ANTA Sports Products Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Discretionary,Textiles Apparel and Luxury Goods,Large Cap,Core,26889.59,0.02,26750.1,75.4,102.4802,116.05886172803449,113.72289504903897,118.43019048452936,0.5392421979845408,0.8545794633534411,1.0,0.35915384615384616,-0.0507,-0.5381,4.1765,-0.0238,30.0,0.549032105758844,0.1770003353654879,0.27562172410273567,0.5393356566541994,0.8503790613208202,0.999625,1.0,0.04055955198424394,0.7014435852048226,0.7011805438603709,0.5045550394194553,0.016533161684421805,32.61579414012723,3.1018704265455086,0.03468715856508542,15.545874043638687,0.0,0.03909505207619974
KYG9830T1067,1810,Xiaomi Corporation,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Core,91761.78,0.01,82667.87,27.96,39.155,47.521781550080014,46.35351725132229,48.710146597751034,0.6996345332646657,1.2647033990965313,1.0,0.4003934191702432,-0.2885,0.0413,,0.3174,29.0,0.7231279182736293,0.24374843636896548,0.3606800870747133,0.7063382194453763,1.1388798144558268,0.99975,1.0,0.04959050922670594,0.779695835272718,0.7795009113138999,0.6546103509093009,0.022089121013625715,31.67326272661981,2.9666976701299546,0.04502418235536487,15.539083591626857,0.0,0.039077975321668075
AU000000CSL8,CSL,CSL Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Health Care,Biotechnology,Large Cap,Core,43187.9,0.01,55565.79,128.83,138.2387,202.88676404415057,198.5997376588198,207.263110422607,0.5748409845855099,0.9491840532019158,1.0,0.07303190250718,-0.244,-0.5245,0.2884,-0.1995,16.0,0.5953252418308637,0.26627400035680576,0.20528854575039673,0.5738521362975744,1.0518185908955135,0.99425,1.0,0.04270053201647967,0.72085530933833,0.7167103913096345,0.5377814665256986,0.017666648502410495,32.538202393457745,2.2357618131440957,0.037059518059811336,15.5112914220244,0.0,0.039008083058623313
JP3756600007,7974,Nintendo Co. Ltd.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Communication Services,Entertainment,Large Cap,Core,55513.23,0.01,41396.44,7558.0,10137.8776,11349.18237550044,11126.077739798977,11578.443254335021,0.5016118517465517,0.7521477191270519,1.0,0.3413439534268325,-0.2757,0.5453,3.5404,0.0911,25.0,0.5206725636310082,0.23081638650087732,0.17596210292891173,0.50216822260875,0.9280382586204409,0.995375,1.0,0.03985886379908468,0.6795705876137423,0.6764275736460288,0.4691620523820034,0.015990008872126454,31.370329795185665,2.2557868248623203,0.032449799364548226,15.458087925639635,0.0,0.03887428592016976
DE0007030009,RHM,Rheinmetall AG,Europe,Europe,DE,EUR,XTRA,Industrials,Aerospace and Defense,Large Cap,Growth,62952.54,0.02,64688.47,1175.0,1697.85,1814.0673110450682,1776.0273869910986,1852.3895276446817,0.5438870732298445,0.8670267477295293,1.0,0.4449787234042553,-0.2398,14.2527,21.5322,0.6691,20.0,0.5577373693241806,0.24670300973007048,0.18762515766830107,0.5381340963893414,0.9906330707376314,0.9945,1.0,0.04209443618141795,0.7040346472594348,0.7001624566995079,0.5080676991465325,0.01735826313250895,31.333035400946333,2.260764349548989,0.03581937408331204,15.184159052160467,0.0,0.03818540451383771
US46120E6023,ISRG,Intuitive Surgical Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Health Care Equipment and Supplies,Large Cap,Growth,130093.22,0.02,125006.32,368.246,477.251,543.1670201981732,532.8275720589309,553.5538541559632,0.4750113244900741,0.6781995714473235,1.0,0.29601136196998745,-0.3498,0.1149,3.7783,0.0598,29.0,0.4854734246173022,0.18388502568342704,0.20422478970711133,0.4752300918363228,0.8000637532710262,0.997,1.0,0.03815821161135747,0.6632731073839422,0.6612832880617904,0.44371927302254627,0.014893734186539583,31.89336660240466,2.640092214213701,0.03129205146752784,15.17993554954361,0.0,0.038174783171204506
