isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos,band_width,kalman_gain,p_upside_pos_cond,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight
US5949724083,MSTR,Strategy Inc,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Large Cap,Core,32923.54,47958.64,91.67,303.6429,201.18766770484723,196.46554699439957,205.89251737967047,1.1946947496983495,2.2417418559900932,1.0,2.3123475509981457,-0.3967,0.6985,3.8802,0.2858,14.0,1.285691736523834,0.648193880130319,0.4234381015902796,1.1943930058925272,2.453577273736364,0.99625,1.0,0.04685660156417116,0.9038423931685514,0.9004529841941693,1.1384289891235249,0.027628252094576894,43.24177822066617,1.9834987276728786,0.056265760574824686,21.233068521478383,0.0,0.023767677428665382
CNE100005MX1,2145,Shanghai Chicmax Cosmetic Co. Ltd.,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Consumer Staples,Personal Care Products,Small Cap,Core,1419.47,1354.49,27.96,86.0383,59.6898578640243,58.23728935961497,61.14499599877125,1.1348303957090153,2.128327905443943,1.0,2.077192417739628,-0.6088,,,0.0696,8.0,1.1731432306076692,0.4283291345390607,0.5562019170785285,1.1369725122931964,1.9405588174499255,0.999375,1.0,0.048713579546128996,0.8935173287170579,0.8929588803866098,1.0772146640882085,0.028094290908878057,40.39363012897394,2.738882639562046,0.0576157316208068,19.69653710514011,0.0,0.022047728989484455
US0301112076,AMSC,American Superconductor Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Electrical Equipment,Small Cap,Growth,1479.07,1342.38,30.52,62.5,58.18108356528227,56.89737151743197,59.50648754454471,0.9063264601992883,1.6642497300795631,1.0,1.0478374836173001,0.0605,1.1599,2.4761,0.6081,4.0,0.9634975233654531,0.46422590266134783,0.30683677321065933,0.9147955250330767,1.7885951979452306,0.99475,1.0,0.04484474793573024,0.8406973598513987,0.8362836987121789,0.8601207109381545,0.022877892585490674,39.615819368523795,2.075492810379268,0.046205749261133855,19.615014899491054,0.0,0.021956475410889346
KYG3774X1088,3800,GCL Technology Holdings Limited,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Semiconductors and Semiconductor Equipment,Small Cap,Value,2470.66,4128.95,0.6,1.4927,1.2736013006403493,1.2415967296312802,1.305313537787956,1.122668834400584,2.104902438035464,1.0,1.4878333333333333,-0.434,,-0.4124,-0.2756,12.0,1.1636162801149195,0.3728457046417867,0.6107784466559943,1.134155098856756,1.8167996141495666,0.999875,1.0,0.050028849785753005,0.8912675470841778,0.8911561386407922,1.0647615634005931,0.028051260826343537,40.02204540290259,3.1209056873348437,0.05790727099999082,19.387355249408348,0.0,0.02170163984055173
US78574H1041,SOC,Sable Offshore Corp.,United States and Canada,United States and Canada,US,USD,NYSE,Energy,Oil Gas and Consumable Fuels,Small Cap,Growth,902.91,1830.24,4.71,13.3333,9.928570118231312,9.679201892393639,10.185250766374724,1.1079766705374328,2.0764043967818386,1.0,1.8308492569002124,-0.4778,-0.5104,,-0.2296,3.0,1.2036083653218088,0.6819412174718738,0.2938705843505397,1.098716346793932,2.4362001947131273,0.9921875,1.0,0.050968958062939364,0.8884686383290787,0.8815274770921329,1.049875667432956,0.028705603853853838,38.5979224188549,1.7649737755753867,0.058101003104476856,19.069837203069905,0.0,0.021346219403062052
US02081G2012,ATEC,Alphatec Holdings Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Health Care,Health Care Equipment and Supplies,Small Cap,Growth,1270.3,1757.05,8.26,15.9231,15.093540123386944,14.766153241034957,15.436563022784025,0.8273050996836527,1.4906892276190695,1.0,0.9277360774818402,-0.6074,-0.4146,0.765,-0.2195,13.0,0.8508465170927796,0.2898263963027342,0.42468719806373273,0.8278332035551748,1.3571549836698682,0.99975,1.0,0.044417000668404524,0.8160704897457643,0.815866472123328,0.7837580269624695,0.021587099041918828,38.32405169759741,2.9357109219411455,0.04354707272118319,18.997949758428092,0.0,0.021265750694844522
US2935941078,ENVX,Enovix Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Industrials,Electrical Equipment,Small Cap,Core,840.23,857.34,3.95,12.95,8.853772409597797,8.611609584340457,9.094898128434288,1.2414613695184293,2.3280867951593134,1.0,2.278481012658228,-0.4596,-0.7691,,-0.4065,10.0,1.347173225090462,0.7615999566216172,0.3452983542435497,1.238782930827363,2.7151670184401517,0.9929375,1.0,0.054585607324842654,0.9110607108966421,0.9046263446259346,1.1755185340544367,0.0322873612054849,38.45038191933545,1.7688725076435017,0.0659428354639926,18.826326784148012,0.0,0.021073640944531662
US03214Q1085,AMPX,Amprius Technologies Inc.,United States and Canada,United States and Canada,US,USD,NYSE,Industrials,Electrical Equipment,Small Cap,Core,1333.83,1278.04,9.24,23.0,17.85542659999238,17.43756875955274,18.293410277849933,0.9324054761896526,1.719915205195068,1.0,1.4891774891774892,0.1711,,,0.0545,9.0,0.9611325884828633,0.34397596175322936,0.46396515353165985,0.9296807366976061,1.571617500152222,0.9993125,1.0,0.04793173176257568,0.8479944482050865,0.8474114520219456,0.8828194574057495,0.024751293736542595,37.67097938856656,2.794185336626477,0.04958601878390312,18.80379790628271,0.0,0.021048422775928728
US68389X1054,ORCL,Oracle Corporation,United States and Canada,United States and Canada,US,USD,NYSE,Information Technology,Software,Large Cap,Core,331225.36,472265.36,114.99,248.1458,210.8873618845431,206.13911331884617,215.48528617917637,0.8339626218327094,1.5055995215387867,1.0,1.1579772154100356,-0.4043,0.4028,2.2499,0.003,41.0,0.8403355846802498,0.16456929918298766,0.5853161881528837,0.8350621095211234,1.116782792212702,1.0,1.0,0.04431831654969943,0.8182972889494788,0.8182972889494788,0.7893093921299014,0.02165041537823982,38.519474442550425,5.10627187970136,0.04465322970280805,18.6764233490655,0.0,0.020905843412729514
US9741551033,WING,Wingstop Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGS,Consumer Discretionary,Hotels Restaurants and Leisure,Small Cap,Growth,3681.84,4823.44,135.2,227.9259,237.8533794647774,232.8610507032974,243.0670341941303,0.7592705581714293,1.3351464108037379,1.0,0.6858424556213017,-0.4309,-0.1565,5.1878,-0.0926,27.0,0.770967374924684,0.17329930011597056,0.504384251688089,0.7607689665562313,1.0683252242977748,1.0,1.0,0.04290871760493212,0.7915845491482021,0.7915845491482021,0.7186122246969269,0.020161145396147818,37.660090399253946,4.448762195858602,0.04065833347450243,18.674414155405103,0.0,0.02090359437996424
KYG0519B1023,6855,Ascentage Pharma Group International,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Health Care,Biotechnology,Small Cap,Core,1659.48,1590.98,35.38,81.7698,71.56502643968933,69.78576732716265,73.40841043886121,1.0227537150844959,1.9072239812456173,1.0,1.3111871113623517,-0.3229,-0.3196,,0.1551,5.0,1.1163771226639734,0.5954090282208546,0.29736000207714464,1.0370183255225964,2.1907736200181507,0.992625,1.0,0.05062030005328803,0.8705818350657902,0.86416129403218,0.9675797318480238,0.02702233409904929,37.84845940160583,1.874975134320396,0.055173983236472046,18.53688378272493,0.0,0.020749646893231465
KYG4602S1057,9660,Horizon Robotics,Asia / Pacific,Asia / Pacific,CN,HKD,SEHK,Information Technology,Software,Mid Cap,Core,8212.96,7464.22,4.42,10.5315,9.187714324521869,8.95606758176362,9.421407639369653,1.0786683992130977,2.01900874090706,1.0,1.3826923076923077,-0.4896,,,,19.0,1.0958472036214115,0.2636458425733559,0.6962070566739152,1.0771921188104885,1.5505065030839829,1.0,1.0,0.05064807646054554,0.8826570046193646,0.8826570046193646,1.0201018762876908,0.028067728182122983,38.43091226386208,4.156512361147917,0.05856652292540687,18.41783232695821,0.0,0.02061638416696963
