asof_date,n_isin,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,last_price,expected_vs_observed_pct
2019-12-30,9,31.425,13.742,6.747,24.695,41.99,-56.269
2020-02-24,1,0.056,14.203,7.222,24.962,41.99,25491.703
2020-03-30,4,50.652,14.536,7.543,25.159,41.99,-71.302
2020-04-27,2,2.013,14.803,7.806,25.303,41.99,635.283
2020-05-25,6,3.94,15.086,8.078,25.469,41.99,282.904
2020-06-29,236,15.54,15.459,8.43,25.694,41.99,-0.522
2020-07-27,31,32.83,15.765,8.733,25.881,41.99,-51.98
2020-08-31,43,86.05,16.152,9.134,26.136,41.99,-81.229
2020-09-28,153,37.07,16.461,9.452,26.323,41.99,-55.595
2020-10-26,32,58.235,16.772,9.761,26.497,41.99,-71.2
2020-11-30,30,60.62,17.161,10.184,26.709,41.99,-71.691
2020-12-28,4100,35.81,17.472,10.517,26.886,41.99,-51.209
2021-01-25,111,64.59,17.786,10.858,27.065,41.99,-72.464
2021-02-22,51,58.95,18.098,11.216,27.237,41.99,-69.3
2021-03-29,742,788.5,18.488,11.66,27.442,41.99,-97.655
2021-04-26,36,52.94,18.782,12.023,27.575,41.99,-64.523
2021-05-31,30,50.805,19.149,12.483,27.78,41.99,-62.308
2021-06-28,16,82.26,19.443,12.872,27.927,41.99,-76.364
2021-07-26,1,90.9,19.733,13.256,28.063,41.99,-78.292
2021-12-27,9,36.8,21.365,15.565,28.779,41.99,-41.942
2022-02-28,1,0.072,22.074,16.604,29.147,41.99,30772.707
2022-03-28,5,1.242,22.441,17.099,29.35,41.99,1706.155
2022-04-25,2,0.507,22.838,17.619,29.57,41.99,4406.322
2022-05-30,7,3.42,23.382,18.334,29.841,41.99,583.682
2022-06-27,244,12.27,23.843,18.93,30.083,41.99,94.316
2022-07-25,31,22.3,24.319,19.531,30.296,41.99,9.052
2022-08-29,45,77.85,24.929,20.333,30.62,41.99,-67.978
2022-09-26,157,34.43,25.42,20.984,30.906,41.99,-26.17
2022-10-31,32,50.765,26.045,21.809,31.24,41.99,-48.696
2022-11-28,30,75.775,26.551,22.489,31.534,41.99,-64.961
2022-12-26,4357,30.36,27.058,23.19,31.827,41.99,-10.877
2023-01-30,115,48.35,27.705,24.066,32.161,41.99,-42.699
2023-02-27,49,69.67,28.23,24.755,32.435,41.99,-59.481
2023-03-27,769,916.0,28.757,25.474,32.732,41.99,-96.861
2023-04-24,37,44.678,29.26,26.131,33.016,41.99,-34.509
2023-05-29,31,59.96,29.898,26.859,33.393,41.99,-50.136
2023-06-26,16,72.74,30.413,27.418,33.697,41.99,-58.189
2023-07-31,1,66.79,31.059,28.014,34.099,41.99,-53.497
2023-12-25,10,36.081,33.906,29.526,36.78,41.99,-6.028
2024-02-26,1,0.127,35.216,30.03,38.629,41.99,27533.784
2024-03-25,6,1.986,35.882,30.419,39.626,41.99,1706.742
2024-04-29,2,0.696,36.775,31.068,40.986,41.99,5184.551
2024-05-27,8,4.38,37.555,31.749,42.138,41.99,757.344
2024-06-24,258,17.165,38.378,32.517,43.433,41.99,123.577
2024-07-29,32,27.203,39.446,33.553,45.07,41.99,45.004
2024-08-26,46,70.252,40.328,34.294,46.431,41.99,-42.595
2024-09-30,180,38.899,41.451,35.09,48.261,41.99,6.56
2024-10-28,37,31.549,42.373,35.777,49.782,41.99,34.31
2024-11-25,49,36.658,43.322,36.324,51.335,41.99,18.178
2024-12-23,10,32.3,44.295,36.92,52.955,41.99,37.135
2024-12-30,4850,33.66,44.543,37.046,53.377,41.99,32.331
2025-01-27,155,56.33,45.553,37.575,55.105,41.99,-19.132
2025-02-17,1,0.086,46.324,37.998,56.42,41.99,54042.108
2025-02-24,113,51.483,46.608,38.172,56.872,41.99,-9.469
2025-03-24,424,28.586,47.761,38.84,58.733,41.99,67.08
2025-03-31,816,1284.482,48.056,39.021,59.206,41.99,-96.259
2025-04-21,2,0.604,48.913,39.424,60.633,41.99,8002.92
2025-04-28,117,29.26,49.22,39.591,61.152,41.99,68.217
2025-05-19,8,6.764,50.16,40.064,62.692,41.99,641.524
2025-05-26,367,25.173,50.486,40.192,63.219,41.99,100.559
2025-06-23,250,18.18,51.826,40.795,65.509,41.99,185.071
2025-06-30,5112,36.33,52.171,40.939,66.092,41.99,43.603
2025-07-21,32,25.081,53.228,41.34,67.897,41.99,112.224
2025-07-28,236,58.488,53.589,41.461,68.494,41.99,-8.377
2025-08-18,46,74.312,54.686,41.841,70.327,41.99,-26.411
2025-08-25,292,54.088,55.056,41.948,71.003,41.99,1.79
2025-09-01,46,74.109,55.429,42.064,71.651,41.99,-25.207
2025-09-22,165,38.453,56.56,42.438,73.607,41.99,47.088
2025-09-29,5774,49.446,56.944,42.546,74.293,41.99,15.164
2025-10-20,35,50.08,58.118,42.87,76.287,41.99,16.05
2025-10-27,227,60.168,58.516,42.956,77.006,41.99,-2.746
2025-11-17,30,59.181,59.728,43.291,79.35,41.99,0.924
2025-11-24,4825,41.103,60.139,43.406,80.085,41.99,46.312
2025-12-01,30,58.865,60.555,43.509,80.898,41.99,2.87
2025-12-22,4712,36.98,61.822,43.857,83.197,41.99,67.178
2025-12-29,6249,45.647,62.255,43.983,83.964,41.99,36.382
2026-01-19,122,77.333,63.578,44.358,86.417,41.99,-17.787
2026-01-26,215,69.19,64.025,44.469,87.285,41.99,-7.465
2026-02-16,51,92.501,65.388,44.862,89.992,41.99,-29.311
2026-02-23,911,1176.987,65.848,44.965,90.95,41.99,-94.405
2026-03-23,827,1437.2,67.655,45.384,94.729,41.99,-95.293
2026-03-30,1057,1170.086,68.096,45.5,95.659,41.99,-94.18
2026-04-20,41,52.24,69.389,45.79,98.4,41.99,32.827
2026-04-27,75,61.851,69.828,45.9,99.361,41.99,12.896
2026-05-18,33,62.83,71.168,46.217,102.288,41.99,13.27
2026-05-25,49,87.54,71.622,46.319,103.267,41.99,-18.184
2026-06-01,33,62.962,72.079,46.441,104.25,41.99,14.48
2026-06-22,16,159.649,73.473,46.776,107.491,41.99,-53.978
2026-06-29,91,89.308,73.94,46.889,108.51,41.99,-17.208
2026-07-20,1,908.267,75.358,47.179,111.971,41.99,-91.703
2026-07-27,1,1093.156,75.821,47.286,113.007,41.99,-93.064
2026-09-28,1,1006.93,79.959,48.131,123.017,41.99,-92.059
2026-12-28,1083,652.1,86.137,49.06,138.054,41.99,-86.791
