asof_date,n_isin,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,last_price,expected_vs_observed_pct
2019-12-30,9,32.6,14.292,6.981,26.241,44.05,-56.159
2020-02-24,1,0.053,14.689,7.424,26.327,44.05,27615.301
2020-03-30,5,15.0,14.98,7.731,26.432,44.05,-0.133
2020-04-27,5,1.875,15.218,7.983,26.533,44.05,711.643
2020-05-25,13,4.1,15.472,8.26,26.638,44.05,277.375
2020-06-29,251,16.75,15.806,8.615,26.773,44.05,-5.633
2020-07-27,26,34.865,16.08,8.898,26.882,44.05,-53.879
2020-08-31,42,86.72,16.425,9.246,27.057,44.05,-81.059
2020-09-28,145,37.9,16.699,9.536,27.193,44.05,-55.94
2020-10-26,29,54.58,16.974,9.831,27.328,44.05,-68.901
2020-11-30,29,56.21,17.316,10.223,27.475,44.05,-69.193
2020-12-28,4070,37.575,17.59,10.539,27.569,44.05,-53.187
2021-01-25,108,67.215,17.865,10.871,27.663,44.05,-73.422
2021-02-22,48,68.745,18.137,11.202,27.774,44.05,-73.617
2021-03-29,738,795.833,18.474,11.623,27.895,44.05,-97.679
2021-04-26,30,60.985,18.725,11.955,27.981,44.05,-69.296
2021-05-31,21,61.48,19.037,12.38,28.055,44.05,-69.036
2021-12-27,9,42.2,20.994,15.225,28.44,44.05,-50.251
2022-02-28,1,0.076,21.621,16.195,28.595,44.05,28537.673
2022-03-28,6,5.849,21.949,16.665,28.728,44.05,275.27
2022-04-25,5,0.986,22.291,17.144,28.865,44.05,2161.233
2022-05-30,14,3.76,22.757,17.784,29.032,44.05,505.246
2022-06-27,261,14.36,23.152,18.326,29.184,44.05,61.224
2022-07-25,28,26.685,23.558,18.891,29.37,44.05,-11.719
2022-08-29,44,73.205,24.076,19.605,29.559,44.05,-67.112
2022-09-26,149,36.825,24.49,20.2,29.715,44.05,-33.496
2022-10-31,29,57.35,25.016,20.946,29.932,44.05,-56.381
2022-11-28,29,73.18,25.438,21.558,30.114,44.05,-65.239
2022-12-26,4407,31.95,25.86,22.172,30.259,44.05,-19.06
2023-01-30,112,53.025,26.397,22.943,30.457,44.05,-50.218
