asof_date,n_isin,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,last_price,expected_vs_observed_pct
2020-06-30,1,67.07,536.453,327.641,709.151,618.585,699.84
2020-09-30,5,41.92,483.453,235.185,697.056,618.585,1053.276
2020-12-31,33,175.5,457.758,205.251,698.475,618.585,160.831
2021-03-31,12,827.025,439.966,189.764,694.953,618.585,-46.801
2022-06-30,1,43.45,393.122,155.468,668.619,618.585,804.769
2022-09-30,5,40.78,384.484,150.559,669.365,618.585,842.825
2022-12-31,36,350.0,391.401,161.466,677.449,618.585,11.829
2023-03-31,12,962.692,398.03,168.365,693.597,618.585,-58.654
2024-06-30,2,67.058,379.242,149.811,710.129,618.585,465.543
2024-09-30,5,81.003,387.829,156.802,725.516,618.585,378.786
2024-12-30,2,472.052,408.314,178.147,747.205,618.585,-13.502
2024-12-31,37,582.685,431.88,198.46,777.606,618.585,-25.881
2025-03-30,7,141.282,449.722,208.239,805.72,618.585,218.314
2025-03-31,12,1577.874,484.309,229.461,853.58,618.585,-69.306
2025-05-30,2,1277.188,503.995,244.874,908.279,618.585,-60.539
2025-06-23,2,1288.52,512.199,250.238,913.667,618.585,-60.249
2025-06-25,2,738.965,509.292,250.538,905.293,618.585,-31.08
2025-06-30,44,374.878,501.69,245.944,888.551,618.585,33.828
2025-07-01,2,1322.666,497.131,243.657,879.997,618.585,-62.414
2025-08-30,5,122.033,476.464,218.43,848.357,618.585,290.438
2025-09-23,5,120.745,473.461,213.923,844.016,618.585,292.118
2025-09-25,5,98.48,483.589,215.731,866.361,618.585,391.053
2025-09-30,54,490.602,510.853,237.375,905.618,618.585,4.128
2025-10-01,5,119.508,539.159,260.357,950.559,618.585,351.148
2025-11-30,37,785.309,585.629,290.681,1028.208,618.585,-25.427
2025-12-24,37,811.8,634.051,315.585,1141.706,618.585,-21.896
2025-12-26,36,555.0,682.612,335.247,1236.473,618.585,22.993
2025-12-31,49,1018.523,740.136,360.626,1356.072,618.585,-27.332
2026-01-01,44,247.211,795.659,380.444,1503.379,618.585,221.854
2026-02-28,12,2155.163,883.979,395.307,1752.276,618.585,-58.983
2026-03-24,12,2213.446,966.067,407.269,2065.208,618.585,-56.355
2026-03-26,12,2360.5,1037.683,419.128,2278.91,618.585,-56.04
2026-03-31,12,2245.492,1097.7,416.777,2547.096,618.585,-51.115
2026-04-01,12,2164.214,1139.023,414.962,2740.251,618.585,-47.37
2027-01-01,12,2161.848,1137.405,379.141,2916.761,618.585,-47.387
