asof_date,price_target,n_isin
2020-06-30,67.07,1
2020-09-30,41.92,5
2020-12-31,175.5,33
2021-03-31,827.025,12
2022-06-30,43.45,1
2022-09-30,40.78,5
2022-12-31,350.0,36
2023-03-31,962.69165,12
2024-06-30,67.05796,2
2024-09-30,81.00272,5
2024-12-30,472.0515,2
2024-12-31,582.6845999999999,37
2025-03-30,141.2824,7
2025-03-31,1577.87381,12
2025-05-30,1277.1875,2
2025-06-23,1288.52027,2
2025-06-25,738.965,2
2025-06-30,374.87768,44
2025-07-01,1322.66604,2
2025-08-30,122.03310000000002,5
2025-09-23,120.74466,5
2025-09-25,98.48,5
2025-09-30,490.6021,54
2025-10-01,119.50810000000001,5
2025-11-30,785.30908,37
2025-12-24,811.8,37
2025-12-26,555.0,36
2025-12-31,1018.52286,49
2026-01-01,247.21128,44
2026-02-28,2155.1630999999998,12
2026-03-24,2213.44553,12
2026-03-26,2360.5,12
2026-03-31,2245.49235,12
2026-04-01,2164.214395,12
2027-01-01,2161.84833,12
