asof_date,n_isin,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,last_price,expected_vs_observed_pct
2019-12-31,3,32.6,80.527,66.144,96.062,81.055,147.017
2020-03-31,2,3182.5,76.654,58.389,96.462,81.055,-97.591
2020-04-30,3,1.875,74.589,53.26,97.359,81.055,3878.066
2020-05-31,5,7.56,72.949,49.449,98.331,81.055,864.928
2020-06-30,22,21.963,71.843,46.57,99.324,81.055,227.109
2020-08-31,3,16.525,69.751,44.464,98.651,81.055,322.093
2020-09-30,32,62.86,68.884,43.286,99.426,81.055,9.584
2020-10-31,1,192.66,68.036,42.198,99.69,81.055,-64.686
2020-12-31,958,50.095,66.012,39.941,97.41,81.055,31.773
2021-01-31,11,68.03,65.051,39.123,96.747,81.055,-4.379
2021-02-28,7,3.8,64.159,37.854,97.078,81.055,1588.384
2021-03-31,242,940.345,63.62,37.533,97.873,81.055,-93.234
2021-12-31,3,118.0,55.937,32.191,88.723,81.055,-52.596
2022-03-31,2,2105.7,53.574,30.108,86.052,81.055,-97.456
2022-04-30,3,1.3,52.277,29.046,84.432,81.055,3921.271
2022-05-31,5,8.78,51.289,28.072,81.783,81.055,484.153
2022-06-30,23,22.5,50.568,28.108,80.182,81.055,124.748
2022-08-31,3,15.02,49.2,26.849,78.38,81.055,227.562
2022-09-30,33,56.51,48.653,26.659,77.834,81.055,-13.904
2022-10-31,1,112.59,48.143,26.241,78.185,81.055,-57.241
2022-12-31,1022,48.21,46.959,25.625,77.173,81.055,-2.596
2023-01-31,11,67.98,46.315,25.229,76.149,81.055,-31.869
2023-02-28,5,6.31,45.681,24.969,75.319,81.055,623.946
2023-03-31,260,1068.15,45.302,24.787,75.411,81.055,-95.759
2023-12-31,3,39.001,40.019,20.797,69.364,81.055,2.611
2024-03-31,2,1748.916,38.332,19.456,67.444,81.055,-97.808
2024-04-30,3,1.292,37.399,18.833,65.304,81.055,2793.801
2024-05-31,5,8.58,36.699,18.351,64.164,81.055,327.725
2024-06-30,27,30.683,36.126,18.057,62.885,81.055,17.737
2024-08-31,3,12.617,35.119,17.422,61.716,81.055,178.341
2024-09-30,38,68.333,34.597,16.964,60.386,81.055,-49.37
2024-10-30,3,1.248,34.131,16.784,60.278,81.055,2634.84
2024-10-31,1,73.074,34.344,17.094,60.159,81.055,-53.001
2024-11-30,8,26.767,33.975,16.86,59.78,81.055,26.93
2024-12-24,3,43.673,33.71,16.874,59.04,81.055,-22.813
2024-12-26,3,51.22,33.792,17.204,58.916,81.055,-34.026
