isin,ticker,name,trading_region,region,sector,industry,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside
ID1000191109,AMMN,PT Amman Mineral Internasional Tbk,Asia / Pacific,Asia / Pacific,Materials,Metals and Mining,17844.72,23312.66,4420.0,6831.498,7617.395,7405.218,7838.562,0.723
JP3756600007,7974,Nintendo Co. Ltd.,Asia / Pacific,Asia / Pacific,Communication Services,Entertainment,54292.38,40244.42,7428.0,10137.878,11096.295,10873.983,11318.269,0.494
KR7196170005,A196170,ALTEOGEN Inc.,Asia / Pacific,Asia / Pacific,Health Care,Biotechnology,13555.65,13318.44,277000.0,351282.051,405041.594,392559.658,418045.017,0.462
KR7035420009,A035420,NAVER Corporation,Asia / Pacific,Asia / Pacific,Communication Services,Interactive Media and Services,24079.35,22541.55,229000.0,303814.815,332035.107,324841.405,339645.201,0.45
US2546871060,DIS,The Walt Disney Company,United States and Canada,United States and Canada,Communication Services,Entertainment,176707.4,224373.4,101.76,126.243,144.354,141.491,147.217,0.419
DE0005557508,DTE,Deutsche Telekom AG,Europe,Europe,Communication Services,Diversified Telecommunication Services,152400.14,347322.21,27.42,37.272,38.094,37.275,38.93,0.389
ID1000129000,TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Asia / Pacific,Asia / Pacific,Communication Services,Diversified Telecommunication Services,14894.87,17176.15,2710.0,3523.182,3672.035,3581.816,3766.665,0.355
US9581021055,WDC,Western Digital Corporation,United States and Canada,United States and Canada,Information Technology,Technology Hardware Storage and Peripherals,178948.62,177435.62,519.17,655.5,683.555,665.985,701.305,0.317
KR7298040007,A298040,Hyosung Heavy Industries Corporation,Asia / Pacific,Asia / Pacific,Industrials,Electrical Equipment,19534.85,19717.49,2985000.0,4231533.176,3926044.729,3837535.054,4016286.008,0.315
AEE01195A234,ADNOCGAS,ADNOC Gas PLC,Africa / Middle East,Africa / Middle East,Energy,Oil Gas and Consumable Fuels,70386.09,66190.03,3.37,4.142,4.386,4.248,4.526,0.302
ID1000122807,ASII,PT Astra International Tbk,Asia / Pacific,Asia / Pacific,Industrials,Industrial Conglomerates,11184.12,18506.04,5025.0,6731.956,6494.961,6317.961,6677.63,0.293
TW0003017000,3017,Asia Vital Components Co. Ltd.,Asia / Pacific,Asia / Pacific,Information Technology,Technology Hardware Storage and Peripherals,33128.56,32061.44,2730.0,3446.0,3490.927,3406.725,3575.774,0.279
TW0006669005,6669,Wiwynn Corporation,Asia / Pacific,Asia / Pacific,Information Technology,Technology Hardware Storage and Peripherals,35508.6,36622.57,6175.0,7568.882,7883.959,7704.027,8065.213,0.277
CA82509L1076,SHOP,Shopify Inc.,United States and Canada,United States and Canada,Information Technology,IT Services,187654.39,182885.39,144.24,163.109,184.019,178.378,189.611,0.276
AU000000ALL7,ALL,Aristocrat Leisure Limited,Asia / Pacific,Asia / Pacific,Consumer Discretionary,Hotels Restaurants and Leisure,27964.02,28846.93,66.22,66.388,84.265,82.585,85.927,0.272
ARP9897X1319,YPFD,YPF Sociedad Anónima,Latin America and Caribbean,Latin America and Caribbean,Energy,Oil Gas and Consumable Fuels,20204.6,28799.36,7685.0,10431.933,9742.721,8685.528,10879.616,0.268
CNE1000041R8,688256,Cambricon Technologies Corporation Limited,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,105818.67,104905.42,1136.9,1508.312,1428.873,1399.478,1459.251,0.257
CA06849F1080,ABX,Barrick Mining Corporation,United States and Canada,United States and Canada,Materials,Metals and Mining,68913.02,75915.33,57.63,65.743,72.324,70.915,73.756,0.255
JP3811000003,5803,Fujikura Ltd.,Asia / Pacific,Asia / Pacific,Industrials,Electrical Equipment,53252.26,52998.24,5073.0,7174.545,6289.012,6159.997,6419.491,0.24
US5324571083,LLY,Eli Lilly and Company,United States and Canada,United States and Canada,Health Care,Pharmaceuticals,1043212.6,1080852.6,1169.86,1285.115,1449.293,1425.263,1474.581,0.239
DK0062498333,NOVOB,Novo Nordisk A/S,Europe,Europe,Health Care,Pharmaceuticals,201045.1,215740.67,294.3,316.785,363.905,354.552,372.772,0.237
TW0003231007,3231,Wistron Corporation,Asia / Pacific,Asia / Pacific,Information Technology,Technology Hardware Storage and Peripherals,18993.12,32569.26,193.0,263.0,238.357,232.835,244.005,0.235
THC903010005,GULF,Gulf Development Public Company Limited,Asia / Pacific,Asia / Pacific,Utilities,Independent Power and Renewable Electricity Producers,30012.36,41554.45,66.5,76.094,82.022,80.024,84.022,0.233
KE1000001402,SCOM,Safaricom PLC,Africa / Middle East,Africa / Middle East,Communication Services,Wireless Telecommunication Services,10732.64,12043.78,34.65,40.217,42.711,37.743,48.152,0.233
GHEMTN051541,MTNGH,Scancom Plc,Africa / Middle East,Africa / Middle East,Communication Services,Wireless Telecommunication Services,7935.34,8040.17,7.01,8.093,8.518,7.354,9.848,0.215
TW0002345006,2345,Accton Technology Corporation,Asia / Pacific,Asia / Pacific,Information Technology,Communications Equipment,41246.23,39858.95,2385.0,3108.667,2840.024,2761.482,2921.013,0.191
JP3436100006,9984,SoftBank Group Corp.,Asia / Pacific,Asia / Pacific,Communication Services,Wireless Telecommunication Services,215278.23,360397.37,5958.0,7650.974,7019.221,6845.618,7196.715,0.178
RSNISHE79420,NIIS,Naftna Industrija Srbije a.d.,Europe,Europe,Energy,Oil Gas and Consumable Fuels,1030.13,1311.99,718.0,940.0,843.253,711.459,992.775,0.174
TW0005274005,5274,ASPEED Technology Inc.,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,20612.82,20383.25,16020.0,19136.696,18808.883,18193.346,19433.298,0.174
DE0006231004,IFX,Infineon Technologies AG,Europe,Europe,Information Technology,Semiconductors and Semiconductor Equipment,90459.34,96907.79,60.08,85.87,70.064,68.68,71.47,0.166
CA1363851017,CNQ,Canadian Natural Resources Limited,United States and Canada,United States and Canada,Energy,Oil Gas and Consumable Fuels,93315.86,107027.16,62.85,70.286,73.137,71.858,74.419,0.164
TW0002344009,2344,Winbond Electronics Corporation,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,23531.78,24912.97,169.0,234.0,196.34,190.628,201.976,0.162
INE752E01010,POWERGRID,Power Grid Corporation of India Limited,Asia / Pacific,Asia / Pacific,Utilities,Electric Utilities,27552.8,42880.11,281.75,329.48,324.515,318.238,331.052,0.152
JP3854600008,7267,Honda Motor Co. Ltd.,Asia / Pacific,Asia / Pacific,Consumer Discretionary,Automobiles,40380.51,98337.74,1636.0,1629.585,1875.065,1839.34,1911.948,0.146
SA123GA0ITH7,1211,Saudi Arabian Mining Company (Maaden),Africa / Middle East,Africa / Middle East,Materials,Metals and Mining,61599.48,69378.59,59.6,65.59,68.084,66.425,69.751,0.142
TW0003653002,3653,Jentech Precision Industrial Co. Ltd,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,19704.85,19391.95,4340.0,5069.444,4914.193,4765.038,5061.677,0.132
TW0006505001,6505,Formosa Petrochemical Corporation,Asia / Pacific,Asia / Pacific,Energy,Oil Gas and Consumable Fuels,19925.58,16295.76,67.6,75.2,76.072,74.387,77.819,0.125
TW0002357001,2357,ASUSTeK Computer Inc.,Asia / Pacific,Asia / Pacific,Information Technology,Technology Hardware Storage and Peripherals,19259.64,19504.88,838.0,802.0,937.254,915.954,959.016,0.118
INE280A01028,500114,Titan Company Limited,Asia / Pacific,Asia / Pacific,Consumer Discretionary,Textiles Apparel and Luxury Goods,45851.91,48665.6,4912.0,5074.405,5471.911,5363.197,5587.148,0.114
GB00BDR05C01,NG,National Grid plc,Europe,Europe,Utilities,Multi-Utilities,79544.12,139998.59,11.875,13.547,13.189,12.869,13.524,0.111
TH0268010Z03,ADVANC,Advanced Info Service Public Company Limited,Asia / Pacific,Asia / Pacific,Communication Services,Wireless Telecommunication Services,33153.59,37754.66,369.0,401.579,402.041,391.382,412.937,0.09
JP3496400007,9433,KDDI Corporation,Asia / Pacific,Asia / Pacific,Communication Services,Wireless Telecommunication Services,68949.05,99461.18,2856.5,2861.4,3108.632,3036.927,3180.747,0.088
DE0007236101,SIE,Siemens Aktiengesellschaft,Europe,Europe,Industrials,Industrial Conglomerates,253604.15,313696.52,285.95,295.583,309.15,301.674,316.969,0.081
INE038A01020,500440,Hindalco Industries Limited,Asia / Pacific,Asia / Pacific,Materials,Metals and Mining,24250.87,32281.04,1039.0,1115.138,1091.88,1070.894,1112.76,0.051
DE0005552004,DHL,Deutsche Post AG,Europe,Europe,Industrials,Air Freight and Logistics,71088.38,99634.74,55.58,52.5,58.221,56.776,59.737,0.048
PLPKN0000018,PKN,Orlen S.A.,Europe,Europe,Energy,Oil Gas and Consumable Fuels,46806.65,49945.64,150.2,144.13,155.194,151.067,159.207,0.033
TW0002412004,2412,Chunghwa Telecom Co. Ltd.,Asia / Pacific,Asia / Pacific,Communication Services,Diversified Telecommunication Services,32884.78,31136.52,137.0,134.8,136.454,133.165,139.784,-0.004
CZ0005112300,CEZ,CEZ a. s.,Europe,Europe,Utilities,Electric Utilities,35071.91,45381.25,1369.0,1081.5,1238.0,1150.622,1328.595,-0.096
SA15CGS10H12,2082,ACWA Power Company,Africa / Middle East,Africa / Middle East,Utilities,Independent Power and Renewable Electricity Producers,41067.46,48044.0,201.3,145.0,181.359,175.469,187.286,-0.099
US80004C2008,SNDK,Sandisk Corporation,United States and Canada,United States and Canada,Information Technology,Technology Hardware Storage and Peripherals,199995.22,196467.22,1350.5,2217.773,947.783,880.875,1018.232,-0.298
