,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,mcap_country_r,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
254,ID1000191109,AMMN,PT Amman Mineral Internasional Tbk,Asia / Pacific,Asia / Pacific,ID,IDR,IDX,Materials,Metals and Mining,Large Cap,Core,17844.72,0.01,23312.66,4420.0,6831.4975,7617.395031715642,7405.21774297681,7838.562262016771,0.7233925411121404,1.3313688007923543,1.0,0.5455876696832579,-0.3121,,,0.1545,8.0,0.7726829592998946,0.4434666564461395,0.1585256514337168,0.7225173908897038,1.5804708370003506,0.9843125
879,JP3756600007,7974,Nintendo Co. Ltd.,Asia / Pacific,Asia / Pacific,JP,JPY,TSE,Communication Services,Entertainment,Large Cap,Core,54292.38,0.01,40244.42,7428.0,10137.8776,11096.294613082868,10873.982913074586,11318.269261741587,0.4938468784441079,0.7418601277752407,1.0,0.36481927840603123,-0.2882,0.6089,3.5722,0.0847,25.0,0.5147687465388963,0.23441113016037113,0.16692584611997777,0.4947030838164532,0.9244167993832816,0.99225
1042,KR7196170005,A196170,ALTEOGEN Inc.,Asia / Pacific,Asia / Pacific,KR,KRW,KOSDAQ,Health Care,Biotechnology,Large Cap,Growth,13555.65,0.01,13318.44,277000.0,351282.0513,405041.5939339605,392559.6579670978,418045.0170846678,0.4622440214222408,0.6532976283053643,1.0,0.26816625018050544,-0.1989,3.7526,56.8576,0.9837,6.0,0.5238544714229328,0.46016794041959713,-0.08109018400092961,0.4610553229723826,1.3287120586501553,0.91325
1109,KR7035420009,A035420,NAVER Corporation,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Communication Services,Interactive Media and Services,Large Cap,Core,24079.35,0.01,22541.55,229000.0,303814.8148,332035.1066362912,324841.4054046942,339645.20138772426,0.4499349634772545,0.6187189127119104,1.0,0.3267022480349345,-0.0458,-0.4706,0.6425,0.0145,27.0,0.4576309999450734,0.18192005619371462,0.18659580077353277,0.4466951431247571,0.761831090347615,0.9975
1322,US2546871060,DIS,The Walt Disney Company,United States and Canada,United States and Canada,US,USD,NYSE,Communication Services,Entertainment,Large Cap,Value,176707.4,0.01,224373.4,101.76,126.2433,144.35429605379466,141.49104816875402,147.2172356577012,0.4185760225412227,0.5285626576348751,1.0,0.24059846698113208,-0.0987,-0.4061,0.1525,0.0673,30.0,0.42418096042980996,0.15574480614645717,0.1878505595015856,0.4156587299743185,0.6924680377491916,0.997
1573,DE0005557508,DTE,Deutsche Telekom AG,Europe,Europe,DE,EUR,XTRA,Communication Services,Diversified Telecommunication Services,Large Cap,Core,152400.14,0.01,347322.21,27.42,37.2722,38.09405289307537,37.274843960536124,38.93017761958613,0.3892798283397311,0.44241892291619667,1.0,0.35930707512764404,0.0235,0.84,1.5492,0.1693,18.0,0.403084566984268,0.19191985050058805,0.11216622457681977,0.3894761741973817,0.7305770078761821,0.989625
1910,ID1000129000,TLKM,Perusahaan Perseroan (Persero) PT Telekomunikasi Indonesia Tbk,Asia / Pacific,Asia / Pacific,ID,IDR,IDX,Communication Services,Diversified Telecommunication Services,Large Cap,Value,14894.87,0.01,17176.15,2710.0,3523.1818,3672.0354764804783,3581.816126943028,3766.665154649335,0.3549946407677041,0.3392354928370161,1.0,0.3000670848708487,-0.1578,0.0851,0.0356,-0.0312,22.0,0.3623878891564515,0.1775319613357601,0.09208340103813888,0.35114525649511985,0.6661732567084312,0.9859375
2357,US9581021055,WDC,Western Digital Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Technology Hardware Storage and Peripherals,Large Cap,Growth,178948.62,0.01,177435.62,519.17,655.5,683.5551075505023,665.9849746017471,701.3048489133073,0.3166305979746561,0.2207024275043686,1.0,0.2625922144962151,2.0159,9.291,16.229,1.5096,24.0,0.33254023488204193,0.18698071208989672,0.050784407099333226,0.32002956355143986,0.662161788054754,0.973875
2384,KR7298040007,A298040,Hyosung Heavy Industries Corporation,Asia / Pacific,Asia / Pacific,KR,KRW,KOSE,Industrials,Electrical Equipment,Large Cap,Growth,19534.85,0.01,19717.49,2985000.0,4231533.1765,3926044.7289549364,3837535.053520856,4016286.0079689114,0.3152578656465429,0.2165107679942263,1.0,0.4175990541038526,0.676,40.0616,,1.6075,17.0,0.3510184698568333,1.0815351915052374,0.016693235401066774,0.3191246148021688,0.7118204555939713,0.9591875
2547,AEE01195A234,ADNOCGAS,ADNOC Gas PLC,Africa / Middle East,Africa / Middle East,AE,AED,ADX,Energy,Oil Gas and Consumable Fuels,Large Cap,Value,70386.09,0.01,66190.03,3.37,4.1419,4.386213741121599,4.247514861902527,4.526177617939382,0.3015471041903815,0.17296675504341902,1.0,0.22905044510385758,-0.0249,,,0.0431,19.0,0.3117502282184329,0.17718484130171783,0.04365506211816885,0.3009115813777131,0.6217627768072841,0.973
