isin,ticker,name,trading_region,region,sector,industry,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside
US44862P2083,HYMC,Hycroft Mining Holding Corporation,United States and Canada,United States and Canada,Materials,Metals and Mining,1847.31,1657.49,20.22,28.0,56.575,53.727,59.557,1.798
NL00150745D9,INIO,Innio N.V.,United States and Canada,Europe,Industrials,Electrical Equipment,19710.0,21823.3,26.28,44.6,65.194,61.925,68.59,1.481
GB00B608Z994,IKA,Ilika plc,Europe,Europe,Industrials,Electrical Equipment,76.17,67.42,0.288,1.18,0.659,0.636,0.683,1.294
GB00BQH8G337,RZLV,Rezolve AI PLC,United States and Canada,Europe,Information Technology,Software,893.37,939.54,2.24,10.5,5.129,4.953,5.303,1.29
SG9999014716,WVE,Wave Life Sciences Ltd.,United States and Canada,Asia / Pacific,Health Care,Pharmaceuticals,1117.86,588.98,5.81,21.938,12.914,12.481,13.362,1.223
US5949724083,MSTR,Strategy Inc,United States and Canada,United States and Canada,Information Technology,Software,32923.54,47958.64,91.67,303.643,201.188,196.466,205.893,1.195
US30233G2093,EYPT,EyePoint Inc.,United States and Canada,United States and Canada,Health Care,Pharmaceuticals,1022.03,821.79,12.19,40.286,25.842,25.109,26.594,1.12
AU0000421851,ELV,Elevra Lithium Limited,Asia / Pacific,Asia / Pacific,Materials,Metals and Mining,1049.58,1048.76,7.75,14.816,16.295,15.625,16.979,1.103
TW0003081006,3081,LandMark Optoelectronics Corporation,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,5534.33,5483.76,1760.0,2376.394,3633.007,3434.945,3840.123,1.064
US0381692070,APLD,Applied Digital Corporation,United States and Canada,United States and Canada,Information Technology,IT Services,7770.07,9853.34,27.19,73.046,55.1,53.672,56.525,1.026
KR7095340006,A095340,ISC Co. Ltd.,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,1885.48,1662.0,134600.0,291875.0,268872.598,257866.412,280064.502,0.998
KYG4672N1198,HCM,HUTCHMED (China) Limited,Europe,Asia / Pacific,Health Care,Pharmaceuticals,1901.22,656.39,1.66,3.424,3.307,3.176,3.443,0.992
US92686J1060,VKTX,Viking Therapeutics Inc.,United States and Canada,United States and Canada,Health Care,Biotechnology,4039.32,3436.35,34.79,92.579,68.465,66.329,70.766,0.968
US00246W1036,AXTI,AXT Inc.,United States and Canada,United States and Canada,Information Technology,Semiconductors and Semiconductor Equipment,3013.99,3050.04,47.23,96.5,92.073,88.256,96.054,0.949
US0937121079,BE,Bloom Energy Corporation,United States and Canada,United States and Canada,Industrials,Electrical Equipment,52590.83,53078.75,184.89,286.2,351.701,339.835,363.536,0.902
TW0006510001,6510,Chunghwa Precision Test Tech. Co. Ltd.,Asia / Pacific,Asia / Pacific,Information Technology,Electronic Equipment Instruments and Components,2624.01,2459.99,2590.0,4500.714,4903.842,4676.97,5136.254,0.893
KR7066970005,A066970,L&F Co. Ltd.,Asia / Pacific,Asia / Pacific,Industrials,Electrical Equipment,2211.33,3198.64,81900.0,193040.0,153442.75,149529.246,157500.157,0.874
TW0002337003,2337,Macronix International Co. Ltd.,Asia / Pacific,Asia / Pacific,Information Technology,Semiconductors and Semiconductor Equipment,7391.29,7606.16,124.0,193.5,232.316,224.093,240.86,0.874
KYG8924B1041,6110,Topsports International Holdings Limited,Asia / Pacific,Asia / Pacific,Consumer Discretionary,Specialty Retail,1027.99,1233.91,1.3,1.996,2.433,2.374,2.494,0.871
CA55027C1068,LMN,Lumine Group Inc.,United States and Canada,United States and Canada,Information Technology,Software,3810.84,3951.56,20.94,40.5,39.065,35.936,42.26,0.866
ID1000107303,DEWA,PT Darma Henwa Tbk,Asia / Pacific,Asia / Pacific,Materials,Metals and Mining,1001.5,1206.98,442.0,922.182,822.76,794.537,851.981,0.861
FR0010353888,ALMDG,MGI Digital Technology Société Anonyme,Europe,Europe,Information Technology,Technology Hardware Storage and Peripherals,73.02,53.39,10.52,23.65,19.538,19.028,20.048,0.857
