,isin,ticker,name,trading_region,region,country,unit,exchange,sector,industry,size_class,style_class,market_cap,enterprise_value,last_price,observed_pt,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,expected_upside,risk_adj_return,prob_pos,implied_upside,total_return_ytd,total_return_5y,total_return_10y,tr_cagr_3y,n_analysts,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos
4,US44862P2083,HYMC,Hycroft Mining Holding Corporation,United States and Canada,United States and Canada,US,USD,NasdaqCM,Materials,Metals and Mining,Small Cap,Core,1847.31,1657.49,20.22,28.0,56.57492055330947,53.72728124763173,59.556946679615926,1.7979683755345863,3.2361440478876817,1.0,0.3847675568743818,-0.1493,-0.1132,,0.6681,1.0,1.999226682421156,1.213916399289171,0.48363781389840915,1.8005643484697198,4.144221960879177,0.9925
16,NL00150745D9,INIO,Innio N.V.,United States and Canada,Europe,DE,USD,NasdaqGS,Industrials,Electrical Equipment,Mid Cap,Core,19710.0,21823.3,26.28,44.6,65.19400672997432,61.92491909223781,68.58999409502931,1.4807460703947624,2.7428459939881145,1.0,0.6971080669710806,,,,,10.0,1.4998824819222631,0.3467525505022726,0.970894715153925,1.4777715145131034,2.095275503481894,1.0
27,GB00B608Z994,IKA,Ilika plc,Europe,Europe,GB,GBP,AIM,Industrials,Electrical Equipment,Small Cap,Core,76.17,67.42,0.2875,1.18,0.6594346149625772,0.6363699211716265,0.6825950238925559,1.2936856172611377,2.4222053171952855,1.0,3.1043478260869564,-0.2333,-0.8201,-0.4655,-0.135,1.0,1.464375681225364,1.00164003706673,0.24131682215351805,1.2955006837335616,3.241988261853595,0.9828125
28,GB00BQH8G337,RZLV,Rezolve AI PLC,United States and Canada,Europe,GB,USD,NasdaqGM,Information Technology,Software,Small Cap,Growth,893.37,939.54,2.24,10.5,5.128862314489569,4.952801171629368,5.303130915129658,1.289670676111413,2.415079993413838,1.0,3.6875,-0.1284,,,-0.4033,5.0,1.5038640414719955,1.0818352094946981,0.1884365001320982,1.3193294691031694,3.445172169343949,0.9779375
37,SG9999014716,WVE,Wave Life Sciences Ltd.,United States and Canada,Asia / Pacific,SG,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Growth,1117.86,588.98,5.81,21.9375,12.914335006445189,12.480979554401056,13.362346876255788,1.222777109543057,2.293513874282075,1.0,2.775817555938038,-0.6582,-0.0051,-0.7246,0.1141,16.0,1.2852086722359488,0.5778576267439415,0.48286431432558097,1.214333456941572,2.3082651166887582,0.9983125
42,US5949724083,MSTR,Strategy Inc,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,Software,Large Cap,Core,32923.54,47958.64,91.67,303.6429,201.18766770484723,196.46554699439957,205.89251737967047,1.1946947496983495,2.2417418559900932,1.0,2.3123475509981457,-0.3967,0.6985,3.8802,0.2858,14.0,1.285691736523834,0.648193880130319,0.4234381015902796,1.1943930058925272,2.453577273736364,0.99625
60,US30233G2093,EYPT,EyePoint Inc.,United States and Canada,United States and Canada,US,USD,NasdaqGM,Health Care,Pharmaceuticals,Small Cap,Core,1022.03,821.79,12.19,40.2857,25.84172433221234,25.109083119444698,26.59357606722631,1.119911758179845,2.0994431311377975,1.0,2.3048154224774406,-0.3328,0.4794,-0.6507,0.0516,14.0,1.1751427947250217,0.47598584229472773,0.516253307236347,1.1202683050867859,2.0156084741599667,0.9990625
64,AU0000421851,ELV,Elevra Lithium Limited,Asia / Pacific,Asia / Pacific,AU,AUD,ASX,Materials,Metals and Mining,Small Cap,Value,1049.58,1048.76,7.75,14.8157,16.294614706133235,15.624686511147669,16.979075505407394,1.1025309298236412,2.0651658522881,1.0,0.9117032258064516,-0.0361,-0.3448,1.137,-0.2995,4.0,1.1613116937858359,0.5327863281845358,0.4180782513835346,1.1039333276037149,2.090019002142992,0.997125
70,TW0003081006,3081,LandMark Optoelectronics Corporation,Asia / Pacific,Asia / Pacific,TW,TWD,TPEX,Information Technology,Semiconductors and Semiconductor Equipment,Mid Cap,Core,5534.33,5483.76,1760.0,2376.3944,3633.00710317637,3434.945468999473,3840.1229283691955,1.0642085813502093,1.9889204686622208,1.0,0.3502240909090909,2.1632,7.5909,4.9549,1.6153,8.0,1.1087997073858364,0.47560869521867555,0.4377175849981656,1.0540746549766848,1.951615503005845,0.998375
85,US0381692070,APLD,Applied Digital Corporation,United States and Canada,United States and Canada,US,USD,NasdaqGS,Information Technology,IT Services,Small Cap,Growth,7770.07,9853.34,27.19,73.0455,55.099824529202536,53.671872740921536,56.52450823400164,1.0264738701435214,1.914737146110684,1.0,1.686484001471129,0.1089,2.5966,452.1742,0.4571,11.0,1.0645985666422384,0.41158068489154986,0.46906892113369436,1.0235969078239355,1.7922016798416085,0.9989375
