index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at,source_sha,source_dirty
beta[feat_analyst_rating],0.3312949428551823,0.005187255513668784,0.3230253864266277,0.33957538366329826,11181.543930671196,6318.498237512524,1.0002441606296577,4.908597004073143e-05,3.4600272206897906e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_coverage_drift],-0.005341401399405627,0.005854172441725555,-0.014608541901008892,0.004040934392049779,16491.227502438956,6212.768208515099,0.9998133837559664,4.565482943621316e-05,3.2470806109234233e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_eps_signal_beat],-0.005117706974454418,0.005285671089300027,-0.013619138228534533,0.003399785517730646,13140.041864498886,6832.754191623226,1.0005451409072943,4.610366748479865e-05,3.137287894345055e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_eps_signal_coverage],-0.07118570448444043,0.005283553328049034,-0.07966229820359899,-0.06285797832528092,11424.234810777913,6491.283260454595,1.0021694174174085,4.9417719722271565e-05,3.422837220307765e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_mcap_country_r],0.08066412073807495,0.0074236173690360755,0.0688201126508796,0.0925983229390912,6105.587735444294,6031.623711202317,1.0007620402046358,9.496509990192484e-05,6.7801592771355e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_median_piotroski_f_score],-0.020801109965557254,0.005234155326074807,-0.02916684348565868,-0.012315953147717192,11521.329323241393,7234.967992808464,1.0012126239618875,4.8786373682850075e-05,3.41660219839617e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_net_eps_drift],0.008121063806470492,0.004866531798706483,0.0004723202068239477,0.015692238482279706,17250.4626481192,6714.699559333055,1.0009054085397495,3.7076054584135845e-05,2.649020387489231e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_pt_achievement_1y],-0.40460426888216044,0.00589268710167857,-0.41383323868723065,-0.3950414908425322,10961.360811972227,7100.269031556455,0.9996772703746217,5.62687046915193e-05,4.033999891508735e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
beta[feat_pt_range_hit_rate],0.06978379369157105,0.004390528166331643,0.06284479205812862,0.07685178897019507,13309.685844326228,6720.635074408011,0.9997391679890518,3.81163162776778e-05,2.652181038844435e-05,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
log_sigma_total,-0.5525039531193672,0.02470277630645519,-0.592456762320467,-0.5120885573847986,1489.1247924115748,2334.509593805203,1.0004422679538145,0.0006398046934100371,0.0004554675090637246,6efb530d5881,2026-08-27 03:27:53.469986+00:00,e73524306a17f3dea14a325c3f99ec064e335b1f,True
