index,mean,sd,eti89_lb,eti89_ub,ess_bulk,ess_tail,r_hat,mcse_mean,mcse_sd,run_id,exported_at
beta[feat_analyst_rating],0.32366968379800615,0.005065475131512374,0.3155551316237466,0.33176854867332034,12370.804121236539,6788.316492384071,1.0003530652857164,4.559360546962221e-05,3.299047537496768e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_coverage_drift],0.005541782693894384,0.005980886212555441,-0.003881645857553146,0.015157722698454527,17202.00870446322,6445.275161251017,1.0002655302737942,4.5680296063896865e-05,3.2273017936403435e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_eps_signal_beat],-0.008866483054627327,0.005366855863075648,-0.017343064310774137,-0.00018641249329109973,12631.623479493832,6827.8563552603155,1.0011051925825176,4.7758056160808255e-05,3.4191169665655784e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_eps_signal_coverage],-0.05913478007858808,0.005265354039135576,-0.06753952243251776,-0.05075059014829059,11203.368405493648,6829.190738923495,1.0001950695353554,4.9808241581432466e-05,3.412734896799328e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_eps_signal_surprise],0.0005397341906872384,0.006909226088056583,-0.010521846645205711,0.01154744427350069,19421.400095717723,5318.138146494008,1.0016427073728047,4.9460800949544994e-05,3.688409435677614e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_mcap_country_r],0.07958643270911875,0.007383004514128797,0.06765802040462433,0.09145532379749235,6886.84545950837,6599.184689446634,0.9998105215897035,8.895015468325261e-05,6.327138021641213e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_median_piotroski_f_score],-0.03338808207061589,0.00518713072754327,-0.041797300246895715,-0.025135350624602214,10618.617906115665,6575.858426772612,1.0001369454182125,5.0354883494636485e-05,3.567266529426271e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_net_eps_drift],0.003991718100412401,0.004985409370340766,-0.003964720577742178,0.011947452178256542,18002.119677135513,5868.236854952695,1.0003195710513357,3.7142584005858956e-05,2.5749622643368756e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_pt_achievement_1y],-0.3984046334904715,0.00591569949824512,-0.40792760041525183,-0.3890484644848863,12266.262919450766,7071.13781419885,1.0002600870245935,5.345201417736979e-05,3.797197851404247e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
beta[feat_pt_range_hit_rate],0.06395059755937799,0.004506946687308541,0.05681781303918206,0.07114999807718983,14930.958917976684,6643.659339895869,1.001766052861365,3.694992821454735e-05,2.631578114708055e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
log_sigma_total,-0.5847019396039329,0.025063128590860677,-0.6243538382773103,-0.5444117154593284,1557.6853648141528,2475.4587163061133,1.002325816123342,0.0006350207195891515,0.0004567112374156802,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
alpha_time_free[step0],-0.15289832709545714,0.008024991965130302,-0.16568258931092064,-0.14024454153762636,11388.554859857551,6394.281403961552,1.0010223115487116,7.516539613413205e-05,5.398931729747919e-05,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
