isin,ticker,name,sector,industry,trading_region,country,style_class,size_class,n_analysts,market_cap,mcap_global_r,mcap_country_r,last_price,observed_pt,expected_upside,expected_upside_sd,prob_pos,implied_upside,expected_pt,expected_pt_hdi_lo,expected_pt_hdi_hi,shrink_gain,risk_adj_return,kalman_gain,er_mean,er_sd,er_p05,er_p50,er_p95,mc_prob_pos,p_upside_pos_cond,p_upside_pos,band_width,cvar05,exp_vol,ret_vol_ratio,expected_sharpe,tail_risk,starr,book_weight,weight,run_id,exported_at
IE000S9YS762,LIN,Linde plc,Materials,Chemicals,United States and Canada,GB,Core,Large Cap,25.0,222318.75,0.0,0.01,482.274,547.24,0.13912075687444228,0.015766368549488378,1.0,0.13470765581391486,549.3683239008648,535.2149923008409,563.8604249173546,0.9238907211946902,-0.015832561360033543,0.399375,0.14203499994904137,0.08905490354057789,0.0006721515961546243,0.13895668685345267,0.2930636850101924,0.95065625,0.9844375,1.0,0.05214249051185358,0.13881377415560808,0.20303742917904083,0.6851975886266957,1.5949149828040976,0.022263725885144473,6.248763463588588,0.0,0.1,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US22160K1051,COST,Costco Wholesale Corporation,Consumer Staples,Consumer Staples Distribution and Retail,United States and Canada,US,Core,Large Cap,35.0,432107.12,0.0,0.0,974.358,1077.3143,0.11272124682356306,0.018629526140818864,1.0,0.10566578198157162,1084.188848612513,1050.8673188601529,1119.2334194159694,0.8686310019123747,-0.12950866805081643,0.210625,0.11518504649103041,0.08118155517159654,-0.012088170841083908,0.11197809217983899,0.25383398092694803,0.93315625,0.98096875,1.0,0.06305737293213058,0.16461494492165302,0.34837016335191473,0.3235674540523004,1.4188573530965178,0.020295388792899136,5.554032394935025,0.0,0.1,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US2546871060,DIS,The Walt Disney Company,Communication Services,Entertainment,United States and Canada,US,Value,Large Cap,31.0,183912.88,0.0,0.01,106.512,127.7194,0.20395871199635351,0.01967589703550234,1.0,0.19910808171849181,128.2360503321556,124.32941439628499,132.27650128780246,0.934499831931657,0.11180209157256175,0.72275,0.20781797225595794,0.119746879324613,0.023112601210794788,0.2018851827308207,0.4155234005700409,0.9675625,0.9804375,1.0,0.06197233048688739,0.08031146472607471,0.1485435956384922,1.3730562473573351,1.7354771450252118,0.1236472472702788,1.6495208465945304,0.0,0.05377299361391202,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US0605051046,BAC,Bank of America Corporation,Financials,Banks,United States and Canada,US,Value,Large Cap,22.0,444095.46,0.0,0.0,63.508,68.7727,0.08705502081978568,0.011065697524451051,1.0,0.08289821754739557,69.03669026222296,67.72068019981845,70.3733819189462,0.939961353931447,-0.3335565430538451,0.042,0.08954336804533063,0.07000033917261154,-0.021280491944942997,0.08745713018334192,0.20696692449912601,0.91103125,0.95621875,1.0,0.03842452048399129,0.02472305650187514,0.3044785356766989,0.2859151323304522,1.279184774012717,0.06233196431791054,1.3966352861235145,0.0,0.04552913682584371,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
FR0000052292,RMS,Hermès International Société en commandite par actions,Consumer Discretionary,Textiles Apparel and Luxury Goods,Europe,FR,Growth,Large Cap,21.0,189221.78,0.0,0.01,1560.5,1877.9048,0.2055740891780436,0.023350414350843,1.0,0.20339942326177507,1881.2983661623368,1814.0603332851845,1951.4513646815974,0.9405407851280548,0.1116370780717368,0.71825,0.2157394652220535,0.14977037951551686,-0.01340551035692201,0.20592389758811414,0.4727241333529784,0.93978125,0.95621875,1.0,0.0730298999178302,0.03999911281154686,0.25385494495965166,0.8098092759655245,1.4404681748149137,0.16557497636649673,1.2415770407420121,0.0,0.040474368311764125,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US00206R1023,T,AT&T Inc.,Communication Services,Diversified Telecommunication Services,United States and Canada,US,Value,Large Cap,23.0,174310.99,0.0,0.01,25.438,28.7065,0.13647694389334583,0.02908528211232039,1.0,0.1284888749115496,28.909700498758927,27.55598804493723,30.335024819680637,0.8776991478261038,0.05699381274235117,0.55625,0.1443593224962022,0.13408462159221907,-0.06326640181304644,0.1368466761005876,0.37497026921429055,0.8734375,0.95634375,1.0,0.09612817589939089,0.021218666363556453,0.23559867111317828,0.5792772227810412,1.076628481193248,0.11525827752978937,1.1840966811088456,0.0,0.038600556884730124,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US0231351067,AMZN,Amazon.com Inc.,Consumer Discretionary,Broadline Retail,United States and Canada,US,Core,Large Cap,60.0,2840942.41,0.0,0.0,263.384,327.004,0.24016316493936438,0.015185990608419372,1.0,0.2415484615618262,326.63913503438954,319.2280080036763,334.026345982864,0.9704560276717459,0.16246755988992417,0.807625,0.24850690511849036,0.13457291803638677,0.04045356210412361,0.24171440107229808,0.4785506468154097,0.9740625,0.97215625,1.0,0.04530485294614094,0.03630257334003473,0.1203631587990492,1.9953212206762185,1.8466338453870585,0.20386059159932965,1.1780754831290998,0.0,0.03840427088981141,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US4370761029,HD,The Home Depot Inc.,Consumer Discretionary,Specialty Retail,United States and Canada,US,Value,Large Cap,32.0,346347.48,0.0,0.01,347.349,377.1563,0.09506848073088024,0.016330907275133925,1.0,0.08581369170488462,380.3709417133905,369.81066613952476,391.11090885908135,0.9297244145314497,-0.3945044733891275,0.02275,0.09967583487310103,0.0968504225266434,-0.05011325395562523,0.09569421454567748,0.2662654988926479,0.8615625,0.8908125,1.0,0.055998606580221696,0.010989668315289984,0.2853429290381718,0.3331727232608677,1.0291729480651504,0.08407881241559026,1.1307067500069998,0.0,0.03686008999089616,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US38141G1040,GS,The Goldman Sachs Group Inc.,Financials,Capital Markets,United States and Canada,US,Value,Large Cap,20.0,309392.84,0.0,0.01,1021.89,1141.65,0.10563992536135385,0.027723997738846175,1.0,0.11719460998737641,1129.8423833275137,1076.9265572447023,1183.6967970767878,0.8717791577864238,-0.3189633210187091,0.0535,0.11334485735104038,0.12626987209842563,-0.07936107036666173,0.10676473629295846,0.3298148684696277,0.827,0.8383125,1.0,0.09450011913841917,0.010481755370796464,0.17469257085734935,0.6047190492583535,0.8976397573499529,0.09515816999055739,1.1101508716680508,0.0,0.03618998562881388,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
US9497461015,WFC,Wells Fargo & Company,Financials,Banks,United States and Canada,US,Value,Large Cap,23.0,261203.99,0.0,0.01,86.377,100.2391,0.15914003642286204,0.015298057386276624,1.0,0.16048369357583625,100.12303892609755,97.61725436898045,102.61960920927031,0.931296779744816,0.013897674055402869,0.453625,0.16235515612540843,0.0922500266769421,0.018134200483337245,0.15915571696622638,0.3182422839414553,0.967375,0.98615625,1.0,0.04996207560162226,0.009785647979418534,0.09730118174095831,1.6355406334789977,1.759946982931216,0.1493543884434435,1.0655196548384254,0.0,0.034735045460876426,512a53fd43eb,2026-08-20 12:49:44.917142+00:00
